sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.025	0.121644105216117	0.107021516518422	0.399005021827805	0.486005505844265	0.889310176826524	0.180007278402341	0.442918782784047	29	0.789749999999995	158.999999	0.58154248102323	0.64686679297422	19.7717240816937	1.5	0.025	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.323125736139406	5.22051206778165	0.121644105216117	0	14.5717240816937					TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.05	0.334363573299635	0.0870004843804791	0.132348937938975	0.406103387403602	0.965418218308336	0.0799021184406629	0.277746314928006	29	0.8685	80.999999	0.494055034577089	0.601412247519675	22.4089293361201	1.5	0.05	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.110628883025634	0.611937487974973	0.334363573299635	0	21.8089293361201					TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.075	0.289737556116673	0.0418621577425897	0.074623844511475	0.311264159678864	1	0.205500931176567	0.222779483060292	29	0.8285	57.999999	0.494055034577089	0.601412247519675	10.8436451852415	1.5	0.075	0	TRUE	TRUE	FALSE	TRUE	FALSE	0.264404923310212	3.49549817353395	0.289737556116673	0	7.44364518524147					TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.1	0.235912276543044	0	0.0418621562865146	0.185313667684951	0.997269859617936	0.272964573152383	0.477592616085218	29	0.8085	33.499999	0.44561157265668	0.55595770206513	5.58149100416376	1.5	0.1	0	FALSE	TRUE	FALSE	FALSE	FALSE	0.522512854062014	13.6509841330016	0.235912276543044	0	-8.01850899583624					TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.15	0.0955830436504451	0	0.00728037459485089	0.074623844511475	1	0.0327616882249604	0.520910850712479	29	0.762833333333335	12.499999	0.40331392347684	0.494505188427773	4.65818125924136	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.0683832816370023	0.233813660372279	0.0955830436504451	0	4.45818125924136	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.2	0.0673434699166241	0.0114665907695305	0.00728037459485089	0.0418621562865146	1	0.0718937041294106	0.638368739753916	29	0.7595	12.499999	0.361858656216547	0.442719474421511	1.56687325998213	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.198803897872347	1.97614949046193	0.0673434699166241	0	-0.433126740017874	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.25	0.0373119220737281	0.0114665907695305	0.0045502342127865	0.0187469653643814	1	0.0114665907695305	0.803219741545519	29	0.7575	12.499999	0.184040775591024	0.271777916057643	1.27907092603739	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.058271042327058	0.169775718694089	0.0373119220737281	0	1.07907092603739	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.3	0.0141967311515949	0.0114665907695305	0.0045502342127865	0.00728037459485089	0.995449765787214	0.0114665907695305	0.803219741545519	29	0.756166666666665	12.499999	0.184040775591024	0.271777916057643	1.01037957711352	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.058271042327058	0.169775718694089	0.0141967311515949	0	0.810379577113516	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.35	0.00273014038206439	0.0114665907695305	0.0045502342127865	0.00728037459485089	0.995449765787214	0.0141967311515949	0.89022022519796	29	0.755214285714285	12.499999	0.102156864684112	0.17502829740427	0.889473345349017	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.129320097232802	0.836184377415066	0.00273014038206439	0	0.089473345349017	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.4	0.00273014038206439	0.0114665907695305	0.0045502342127865	0.00728037459485089	0.995449765787214	0.0141967311515949	0.913909564718995	29	0.7545	12.499999	0.0741112643932151	0.129573751949724	0.161760837497791	1.5	0.4	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.164904859700799	1.359680637647	0.00273014038206439	0	-1.23823916250221	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.45	0.00273014038206439	0.0114665907695305	0.0045502342127865	0.00728037459485089	1	0.00728037459485089	0.913909564718995	29	0.753944444444445	12.499999	0.0741112643932151	0.129573751949724	0.015849983608549	1.5	0.45	0	FALSE	FALSE	FALSE	FALSE	TRUE	0.084566590598447	0.357575412272268	0.00273014038206439	0	-0.384150016391451	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.5	0.00273014038206439	0	0.0045502342127865	0.0045502342127865	1	0	0.935022652791352	29	0.7535	12.499999	0.0741112643932151	0.129573751949724	0	1.5	0.5	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00273014038206439	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.55	0	0	0.0045502342127865	0.0045502342127865	1	0	0.946671252943955	29	0.753136363636365	12.499999	0.0415746113448083	0.0386646610406335	0	1.5	0.55	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.6	0	0	0.0045502342127865	0.0045502342127865	1	0	0.962142049777055	29	0.752833333333335	12.499999	0.0415746113448083	0.0386646610406335	0	1.5	0.6	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.001	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.65	0.0045502342127865	0	0.0045502342127865	0.0045502342127865	1	0	0.974336678078875	29	0.752576923076925	12.499999	0.0186181952402154	0.0226293079212452	0	1.5	0.65	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.7	0.0045502342127865	0	0	0.0045502342127865	1	0	0.985803268848405	29	0.752357142857145	0	0.0186181952402154	0.0226293079212452	0.0910046905754102	1.5	0.7	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0.0910046905754102	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.75	0.0045502342127865	0	0	0.0045502342127865	1	0	0.981253034635619	29	0.752166666666665	0	0.00723036678172849	0.00663133973843392	0.21234427800929	1.5	0.75	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0.21234427800929	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.8	0.0045502342127865	0	0	0.0045502342127865	1	0	0.981253034635619	29	0.752	0	0.00723036678172849	0.00663133973843392	0.318516417013936	1.5	0.8	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0.318516417013936	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.85	0.0045502342127865	0	0	0.0045502342127865	1	0	0.981253034635619	29	0.75185294117647	0	0.00723036678172849	0.00663133973843392	0.412197716135681	1.5	0.85	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0.412197716135681	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.9	0.0045502342127865	0	0	0.0045502342127865	1	0	0.981253034635619	29	0.75172222222222	0	0.00723036678172849	0.00663133973843392	0.41457692373242	1.5	0.9	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0.41457692373242	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:0.95	0.0045502342127865	0	0	0.0045502342127865	1	0	0.992719625405149	29	0.751605263157895	0	0.00723036678172849	0.00663133973843392	0.340070159518647	1.5	0.95	0	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0045502342127865	0	0.340070159518647	FALSE				TRUE
SLX-12456_SLX-12458.D712_D502	SLX-12456_SLX-12458.D712_D502:1.5:1	0.0045502342127865	0	0	0.0045502342127865	1	0.0045502342127865	0.992719625405149	29	0.7515	0	0.00723036678172849	0.00663133973843392	0.273014071726231	1.5	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	0.625000012500003	19.5312507812502	0.0045502342127865	0	-19.3269859282738					TRUE
