sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12456_SLX-12458.D712_D502:1.5:0.04	0.25191332385998	0.148883674261012	0	0	0.185313667684951	0.437226991544931	0.96723831177504	0.13562510829035	0.363787255305416	29	0.856499999999999	133.999999	247499999	0.578908877837024	20.086887046843	SLX-12456_SLX-12458.D712_D502	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.213175717433101	2.27219432515586	0.25191332385998	0	17.886887046843					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.06	0.331479542892127	0.0418621577425897	0	0.0114665907695305	0.074623844511475	0.364361400628148	0.98853340923047	0.0959807818389162	0.233728164674215	29	0.8485	57.999999	169999999	0.578908877837024	17.2222639822726	SLX-12456_SLX-12458.D712_D502	1.5	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.125256831080199	0.784463686612681	0.331479542892127	0	16.4222639822726					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.08	0.322317234958562	0.0418621577425897	0.0114665907695305	0	0.074623844511475	0.243192651137895	1	0.239536685083033	0.335989318239151	29	0.8235	57.999999	57999999	0.578908877837024	8.38206476529504	SLX-12456_SLX-12458.D712_D502	1.5	0.08	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.360742216447211	6.50674733636232	0.322317234958562	0	1.78206476529504					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.1	0.235912276543044	0	0.0114665907695305	0	0.0418621562865146	0.185313667684951	0.997269859617936	0.272964573152383	0.477592616085218	29	0.8085	33.499999	247499999	0.578908877837024	5.58149100416376	SLX-12456_SLX-12458.D712_D502	1.5	0.1	0	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.522512854062014	13.6509841330016	0.235912276543044	0	-8.01850899583624					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.15	0.0955830436504451	0	0	0	0.00728037459485089	0.074623844511475	1	0.0327616882249604	0.520910850712479	29	0.762833333333335	12.499999	241999999	0.565742686416295	4.65818125924136	SLX-12456_SLX-12458.D712_D502	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0683832816370023	0.233813660372279	0.0955830436504451	0	4.45818125924136	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.2	0.0673434699166241	0.0114665907695305	0	0	0.00728037459485089	0.0418621562865146	1	0.0718937041294106	0.638368739753916	29	0.7595	12.499999	247499999	0.565742686416295	1.56687325998213	SLX-12456_SLX-12458.D712_D502	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.198803897872347	1.97614949046193	0.0673434699166241	0	-0.433126740017874	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.25	0.0373119220737281	0.0114665907695305	0	0	0.0045502342127865	0.0187469653643814	1	0.0114665907695305	0.803219741545519	29	0.7575	12.499999	247499999	0.565742686416295	1.27907092603739	SLX-12456_SLX-12458.D712_D502	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.058271042327058	0.169775718694089	0.0373119220737281	0	1.07907092603739	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.3	0.0141967311515949	0.0114665907695305	0	0	0.0045502342127865	0.00728037459485089	0.995449765787214	0.0114665907695305	0.803219741545519	29	0.756166666666665	12.499999	247499999	0.565742686416295	1.01037957711352	SLX-12456_SLX-12458.D712_D502	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.058271042327058	0.169775718694089	0.0141967311515949	0	0.810379577113516	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.35	0.00273014038206439	0.0114665907695305	0	0	0.0045502342127865	0.00728037459485089	0.995449765787214	0.0141967311515949	0.89022022519796	29	0.755214285714285	12.499999	247499999	0.565742686416295	0.889473345349017	SLX-12456_SLX-12458.D712_D502	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.129320097232802	0.836184377415066	0.00273014038206439	0	0.089473345349017	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.4	0.00273014038206439	0.0114665907695305	0	0	0.0045502342127865	0.00728037459485089	0.995449765787214	0.0141967311515949	0.913909564718995	29	0.7545	12.499999	247499999	0.565742686416295	0.161760837497791	SLX-12456_SLX-12458.D712_D502	1.5	0.4	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.164904859700799	1.359680637647	0.00273014038206439	0	-1.23823916250221	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.45	0.00273014038206439	0.0114665907695305	0	0	0.0045502342127865	0.00728037459485089	1	0.00728037459485089	0.913909564718995	29	0.753944444444445	12.499999	247499999	0.565742686416295	0.015849983608549	SLX-12456_SLX-12458.D712_D502	1.5	0.45	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.084566590598447	0.357575412272268	0.00273014038206439	0	-0.384150016391451	FALSE				FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.5	0.00273014038206439	0	0	0	0.0045502342127865	0.0045502342127865	1	0	0.935022652791352	29	0.7535	12.499999	247499999	0.565742686416295	0	SLX-12456_SLX-12458.D712_D502	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00273014038206439	0	0					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.55	0	0	0	0	0.0045502342127865	0.0045502342127865	1	0	0.946671252943955	29	0.753136363636365	12.499999	247499999	0.565742686416295	0	SLX-12456_SLX-12458.D712_D502	1.5	0.55	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.6	0	0	0	0	0.0045502342127865	0.0045502342127865	1	0	0.962142049777055	29	0.752833333333335	12.499999	247499999	0.565742686416295	0	SLX-12456_SLX-12458.D712_D502	1.5	0.6	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.65	0.0045502342127865	0	0	0	0.0045502342127865	0.0045502342127865	1	0	0.974336678078875	29	0.752576923076925	12.499999	247499999	0.565742686416295	0	SLX-12456_SLX-12458.D712_D502	1.5	0.65	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.0045502342127865	0	0					FALSE
SLX-12456_SLX-12458.D712_D502:1.5:0.7	0.0045502342127865	0	0	0	0	0.0045502342127865	1	0	0.985803268848405	29	0.752357142857145	0	247499999	0.565742686416295	0.0910046905754102	SLX-12456_SLX-12458.D712_D502	1.5	0.7	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.0045502342127865	0	0.0910046905754102					FALSE
