sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12453.D703_D508:1.5:0.04	0.149389020883403	0.357851801139243	0	0	0.0876999087516961	0.237088929635099	0.975407860652122	0.335260989679409	0.408691436816944	27	0.923249999999995	89.499999	247499999	0.442541629231779	13.4934204301285	SLX-12453.D703_D508	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.566981455290746	16.0733985321806	0.149389020883403	0	-2.5065795698715					FALSE
SLX-12453.D703_D508:1.5:0.06	0.18049084436777	0.241351608595986	0	0	0.0444828397910885	0.166024878535071	1	0.182332589519103	0.350076344364028	27	0.881333333333335	35.999999	247499999	0.442541629231779	21.2473460392947	SLX-12453.D703_D508	1.5	0.06	0	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.280544626954199	3.93526438564354	0.18049084436777	0	17.2473460392947					FALSE
SLX-12453.D703_D508:1.5:0.08	0.115755652483233	0.169925908015615	0	0	0.0339950157106182	0.136731300282525	0.994394439021896	0.100357629352575	0.337056975729403	27	0.848	35.999999	247499999	0.442541629231779	10.7325105457207	SLX-12453.D703_D508	1.5	0.08	0	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.151381982581374	1.14582523251336	0.115755652483233	0	9.53251054572075					FALSE
SLX-12453.D703_D508:1.5:0.1	0.127328423919785	0.169925908015615	0	0	0.00940287636273985	0.0876999087516961	0.99059712363726	0.110692565544819	0.382443940487121	27	0.828	15.499999	247499999	0.442541629231779	3.42850020291481	SLX-12453.D703_D508	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.179242942951822	1.6064016299015	0.127328423919785	0	1.82850020291481	FALSE				FALSE
SLX-12453.D703_D508:1.5:0.15	0.0350799634283486	0	0	0	0.00940287636273985	0.0339950157106182	1	0.0381539805755966	0.665385197732891	27	0.794916666666665	15.499999	143499999	0.442541629231779	1.11942456113279	SLX-12453.D703_D508	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.114023588667006	0.650068938625134	0.0350799634283486	0	0.519424561132788	FALSE				FALSE
SLX-12453.D703_D508:1.5:0.2	0.0301977003259827	0	0	0	0.0037973153846355	0.00940287636273985	1	0.0245921393478783	0.77231394672764	27	0.78325	10.499999	247499999	0.442541629231779	0.231229403006988	SLX-12453.D703_D508	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.108008984276525	0.583297034222331	0.0301977003259827	0	-0.368770596993012	FALSE				FALSE
SLX-12453.D703_D508:1.5:0.25	0.00940287636273985	0	0	0	0	0.00940287636273985	1	0	0.837772436849564	27	0.77625	0	247499999	0.442541629231779	0.644187486383097	SLX-12453.D703_D508	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.00940287636273985	0	0.644187486383097	FALSE				FALSE
SLX-12453.D703_D508:1.5:0.3	0.00940287636273985	0	0	0	0	0.00940287636273985	1	0.00560556097810436	0.863268699717475	27	0.771583333333335	0	143499999	0.442541629231779	0.616461054220635	SLX-12453.D703_D508	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0409969112158058	0.0840373364618333	0.00940287636273985	0	0.616461054220635	FALSE				FALSE
SLX-12453.D703_D508:1.5:0.35	0.00940287636273985	0	0	0	0	0.00940287636273985	1	0.00560556097810436	0.912300091248304	27	0.76825	0	143499999	0.442541629231779	0.381023174903289	SLX-12453.D703_D508	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0639175234945264	0.204272490483667	0.00940287636273985	0	0.181023174903289	FALSE				FALSE
SLX-12453.D703_D508:1.5:0.4	0.00940287636273985	0	0	0	0	0.0037973153846355	1	0.00940287636273985	0.944667687009748	27	0.76575	0	143499999	0.442541629231779	0.156639273004732	SLX-12453.D703_D508	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.169934634115084	1.44388899359137	0.00940287636273985	0	-1.24336072699527					FALSE
