sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12455.D710_D505:1.5:0.04	0.415173266357815	0.0419816626846336	0	0.00338894115847212	0.224412703677295	0.471659318934665	0.923817759453699	0.167926651100445	0.236570244413478	28	0.849	133.999999	169999999	0.687643458708219	16.8715176614384	SLX-12455.D710_D505	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.219963460778958	2.4191962038928	0.415173266357815	0	14.4715176614384					FALSE
SLX-12455.D710_D505:1.5:0.06	0.375752936059987	0	0.00338894115847212	0.0211717866055275	0.0959063828746779	0.367067073292369	0.995657069701923	0.205203471874848	0.236355764439904	28	0.864916666666665	89.499999	169999999	0.687643458708219	19.7912188499001	SLX-12455.D710_D505	1.5	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.26871606216518	3.61041610327804	0.375752936059987	0	16.1912188499001					FALSE
SLX-12455.D710_D505:1.5:0.08	0.359779644330772	0	0.0245607277639996	0.0278671380396746	0.0642391808694252	0.281956534560217	1	0.150797363878728	0.393216176915824	28	0.799	89.499999	234999999	0.687643458708219	11.2292140648987	SLX-12455.D710_D505	1.5	0.08	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.248519090558894	3.08808691861098	0.359779644330772	0	8.22921406489869					FALSE
SLX-12455.D710_D505:1.5:0.1	0.29498532690209	0	0.0245607277639996	0.0278671380396746	0.0197241423283766	0.224412703677295	0.996199936034422	0.292332477023219	0.29640501464885	28	0.817499999999999	31.999999	234999999	0.687643458708219	7.35854099489158	SLX-12455.D710_D505	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.41548402576707	8.63134878338058	0.29498532690209	0	-1.24145900510842	FALSE				FALSE
SLX-12455.D710_D505:1.5:0.15	0.119973456948774	0	0.0278671380396746	0	0.00380006396557805	0.0959063828746779	1	0.0640582261490808	0.332546891925215	28	0.775666666666665	10.499999	0	0.663188837179172	4.88189132134522	SLX-12455.D710_D505	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.0959741221879267	0.460551606487154	0.119973456948774	0	4.48189132134522					FALSE
SLX-12455.D710_D505:1.5:0.2	0.0921063189090998	0.0245607277639996	0.0278671380396746	0	0.00380006396557805	0.0318481567255971	1	0.028048092760019	0.584305124869535	28	0.75475	10.499999	234999999	0.663188837179172	1.68950367175024	SLX-12455.D710_D505	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0674727893896122	0.227628865400748	0.0921063189090998	0	1.48950367175024	FALSE				FALSE
SLX-12455.D710_D505:1.5:0.25	0.0318481567255971	0.0245607277639996	0	0	0	0.00814299426365452	1	0.00773187145654859	0.751026568558705	28	0.75375	0	241999999	0.632543391630923	2.58781723463265	SLX-12455.D710_D505	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0310550061980074	0.0482206704979139	0.0318481567255971	0	2.58781723463265	FALSE				FALSE
SLX-12455.D710_D505:1.5:0.3	0.00814299426365452	0.0524278658036742	0	0	0	0.00380006396557805	1	0.0245607277639996	0.879532889361323	28	0.753083333333335	0	234999999	0.632543391630923	2.25251492609635	SLX-12455.D710_D505	1.5	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.203879113841003	2.07833465302963	0.00814299426365452	0	0.252514926096349					FALSE
SLX-12455.D710_D505:1.5:0.35	0.00380006396557805	0.0524278658036742	0	0	0	0.00380006396557805	1	0.0283607917295776	0.851665751321648	28	0.752607142857145	0	234999999	0.632543391630923	2.75396118654948	SLX-12455.D710_D505	1.5	0.35	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.191195168899093	1.82777963051764	0.00380006396557805	0	0.953961186549484					FALSE
SLX-12455.D710_D505:1.5:0.4	0.00380006396557805	0.0524278658036742	0	0	0	0.00380006396557805	1	0.00380006396557805	0.851665751321648	28	0.75225	0	234999999	0.632543391630923	2.57169350756787	SLX-12455.D710_D505	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.025618250669932	0.0328147383693735	0.00380006396557805	0	2.57169350756787					FALSE
SLX-12455.D710_D505:1.5:0.45	0.00380006396557805	0.0490389246452021	0	0	0	0.00380006396557805	1	0.0316672020052527	0.883332953326901	28	0.75197222222222	0	234999999	0.632543391630923	1.66777080771673	SLX-12455.D710_D505	1.5	0.45	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.271432275936358	3.68377402099956	0.00380006396557805	0	-1.93222919228327					FALSE
SLX-12455.D710_D505:1.5:0.5	0.00380006396557805	0.0278671380396746	0	0	0	0	1	0.0278671380396746	0.915723977470729	28	0.75175	0	234999999	0.632543391630923	0.989283403231378	SLX-12455.D710_D505	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.33066508365408	5.466969877398	0.00380006396557805	0	-4.41071659676862					FALSE
SLX-12455.D710_D505:1.5:0.55	0	0.0278671380396746	0	0	0	0	1	0.0278671380396746	0.915723977470729	28	0.75156818181818	0	234999999	0.632543391630923	0.452207650388798	SLX-12455.D710_D505	1.5	0.55	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.33066508365408	5.466969877398	0.001	0	-4.9477923496112					FALSE
SLX-12455.D710_D505:1.5:0.6	0	0.0278671380396746	0	0	0	0	1	0	0.939429139932671	28	0.751416666666665	0	234999999	0.632543391630923	0.00464452301981932	SLX-12455.D710_D505	1.5	0.6	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0.00464452301981932					FALSE
SLX-12455.D710_D505:1.5:0.65	0	0.0278671380396746	0	0	0	0	1	0	0.939429139932671	28	0.75128846153846	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.65	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:0.7	0	0	0	0	0	0	1	0	0.943772070230748	28	0.75117857142857	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.7	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:0.75	0	0	0	0	0	0	1	0	0.943772070230748	28	0.751083333333335	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.75	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:0.8	0	0	0	0	0	0	1	0	0.943772070230748	28	0.751	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.8	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:0.85	0	0	0	0	0	0	1	0	0.94716101138922	28	0.750926470588235	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.85	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:0.9	0	0	0	0	0	0	1	0	0.968332797994747	28	0.75086111111111	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.9	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:0.95	0	0	0	0	0	0	1	0	0.968332797994747	28	0.750802631578945	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	0.95	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.5:1	0	0	0	0	0	0	1	0	0.968332797994747	28	0.75075	0	234999999	0.632543391630923	0	SLX-12455.D710_D505	1.5	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12455.D710_D505:1.6:0.04	0.375752936059987	0.10350651333921	0	0	0.224412703677295	0.446506512557483	0.943903813394229	0.171726715066023	0.20417922026965	28	0.8992	133.999999	169999999	0.687643458708219	20.3799909147917	SLX-12455.D710_D505	1.6	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.215785663606585	2.3281726309067	0.375752936059987	0	17.9799909147917					FALSE
SLX-12455.D710_D505:1.6:0.06	0.271160690417691	0.0419816626846336	0	0.0245607277639996	0.0959063828746779	0.281956534560217	0.995657069701923	0.128297408104239	0.236508764077501	28	0.865866666666665	89.499999	0	0.687643458708219	13.7252560581637	SLX-12455.D710_D505	1.6	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0.168040446396509	1.41187958125689	0.271160690417691	0	12.3252560581637					FALSE
