sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12451.D702_D508:1.5:0.04	0.0849176415501149	0.276889576533411	0.0734864207885566	0	0.0903610780034319	0.175278719553547	0.935041633791987	0.368247576774545	0.226447044859432	32	0.972749999999995	89.499999	241999999	0.37180474217776	18.6863720004073	SLX-12451.D702_D508	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.47604701698493	11.3310381190125	0.0849176415501149	0	7.28637200040734					TRUE
SLX-12451.D702_D508:1.5:0.06	0.0430031644566787	0.411523958302976	0	0.00852805312895973	0.0767524817895966	0.0903610780034319	0.997096833093193	0.278110365265343	0.347835725235186	32	0.89775	89.499999	37499999	0.296439646459104	11.4485643918095	SLX-12451.D702_D508	1.5	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.426442195665558	9.09264731220308	0.0430031644566787	0	2.44856439180945					TRUE
SLX-12451.D702_D508:1.5:0.08	0.0843732965983579	0.29666740355826	0.0058063341765094	0.00272171895245033	0.0117941155815834	0.0903610780034319	0.995100905595273	0.137537546861892	0.410798163945279	32	0.86025	13.499999	247499999	0.296439646459104	20.1899858187103	SLX-12451.D702_D508	1.5	0.08	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.233430275409254	2.72448467388201	0.0843732965983579	0	17.3899858187103					TRUE
SLX-12451.D702_D508:1.5:0.1	0.0812886813742988	0.29666740355826	0.00852805312895973	0	0.0117941155815834	0.0903610780034319	0.997822624910619	0.00489909440472732	0.337674640154123	32	0.83775	13.499999	247499999	0.296439646459104	16.4860887694449	SLX-12451.D702_D508	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.00739680933532023	0.00273563941715403	0.0812886813742988	0	16.4860887694449	TRUE	TRUE	FALSE	TRUE	TRUE
SLX-12451.D702_D508:1.5:0.15	0.0863692237333826	0.135178724906842	0.00272171895245033	0	0.00889094867477665	0.0767524817895966	1	0.0807443375112296	0.57906206530196	32	0.80775	13.499999	13499999	0.290083554049096	1.80729720771668	SLX-12451.D702_D508	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.191820054348752	1.83974666251792	0.0863692237333826	0	0.00729720771667641					TRUE
SLX-12451.D702_D508:1.5:0.2	0.0611479588036326	0.0058063341765094	0	0	0.00399185427004933	0.0117941155815834	1	0.0649583662080132	0.767565175549974	32	0.79275	5.999999	145864021	0.287359514444808	0.91885243019056	SLX-12451.D702_D508	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.279469164578561	3.90515069751194	0.0611479588036326	0	-3.08114756980944	FALSE				TRUE
SLX-12451.D702_D508:1.5:0.25	0.0117941155815834	0.00852805312895973	0	0	0	0.0117941155815834	1	0.00870950108331614	0.820185081587543	32	0.78375	0	247499999	0.287359514444808	1.07938850594315	SLX-12451.D702_D508	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0484359204464804	0.117301919474889	0.0117941155815834	0	0.879388505943147	FALSE				TRUE
SLX-12451.D702_D508:1.5:0.3	0.0117941155815834	0.00852805312895973	0	0	0	0.00889094867477665	1	0.0163303144404938	0.901110868867608	32	0.77775	0	145864021	0.287359514444808	0.956003898413605	SLX-12451.D702_D508	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.165137606666105	1.36352145677046	0.0117941155815834	0	-0.443996101586395	FALSE				TRUE
SLX-12451.D702_D508:1.5:0.35	0.00889094867477665	0.00852805312895973	0	0	0	0.00399185427004933	1	0.00762081335717765	0.901110868867608	32	0.773464285714285	0	145864021	0.287359514444808	0.564426256891547	SLX-12451.D702_D508	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0770642159548858	0.296944669037064	0.00889094867477665	0	0.364426256891547	FALSE				TRUE
SLX-12451.D702_D508:1.5:0.4	0.00889094867477665	0.00852805312895973	0	0	0	0.00399185427004933	1	0.00671357322249966	0.901110868867608	32	0.77025	0	145864021	0.287359514444808	0.277751452905648	SLX-12451.D702_D508	1.5	0.4	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0678898999882161	0.2304519260205	0.00889094867477665	0	0.0777514529056478	FALSE				TRUE
SLX-12451.D702_D508:1.5:0.45	0.00399185427004933	0.00272171895245033	0	0	0	0.00399185427004933	1	0.00399185427004933	0.901110868867608	32	0.76775	0	145864021	0.287359514444808	0.119135701314365	SLX-12451.D702_D508	1.5	0.45	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0403669667671069	0.0814746002988357	0.00399185427004933	0	0.119135701314365	FALSE				TRUE
SLX-12451.D702_D508:1.5:0.5	0.00399185427004933	0.00272171895245033	0	0	0	0.00181447918066825	1	0.00399185427004933	0.914719465081444	32	0.76575	0	145864021	0.287359514444808	0.0231346139117883	SLX-12451.D702_D508	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0468085041195108	0.109551802895313	0.00399185427004933	0	-0.176865386088212					TRUE
