sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-10722_SLX-11823.D702_D507:1.5:0.04	0.265563170653325	0.0614581234289862	0.0209680654023008	0	0.0891142784116765	0.277131758299431	0.988431412353894	0.111228313319759	0.268274558467612	22	0.849	133.999999	169999999	0.784573867960828	11.0571636982533	SLX-10722_SLX-11823.D702_D507	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.152008262944669	1.15532560017278	0.265563170653325	0	9.85716369825326					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.06	0.20808174935196	0.0209680654023008	0	0	0.011568587646106	0.117159878702574	1	0.192508532645264	0.0938140176512923	22	0.8485	31.999999	0	0.766640607232594	8.89199831098038	SLX-10722_SLX-11823.D702_D507	1.5	0.06	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0.212438215107134	2.25649976189525	0.20808174935196	0	6.69199831098038					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.08	0.105591291056468	0.0209680654023008	0	0.0527325238776398	0.011568587646106	0.0891142784116765	1	0.15150412398869	0.213115080756882	22	0.8235	31.999999	0	0.766640607232594	4.56195515105165	SLX-10722_SLX-11823.D702_D507	1.5	0.08	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0.192536570829719	1.85351655534337	0.105591291056468	0	2.76195515105165					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.1	0.0891142784116765	0.0209680654023008	0	0.0527325238776398	0	0.011568587646106	1	0.0985137561678713	0.549507926746975	22	0.789	0	197499999	0.766640607232594	1.2492267357002	SLX-10722_SLX-11823.D702_D507	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.218680332056675	2.39105438142087	0.0891142784116765	0	-1.1507732642998	FALSE				FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.15	0.0643011115237458	0.0209680654023008	0.0527325238776398	0	0	0.011568587646106	1	0	0.649167652420628	22	0.775666666666665	0	197499999	0.766640607232594	5.16052454001633	SLX-10722_SLX-11823.D702_D507	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0643011115237458	0	5.16052454001633	TRUE	TRUE	FALSE	TRUE	FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.2	0.011568587646106	0	0.0527325238776398	0	0	0.011568587646106	1	0.011568587646106	0.735932061754774	22	0.769	0	197499999	0.766640607232594	0.18798955362874	SLX-10722_SLX-11823.D702_D507	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0438091338273823	0.0959620103352745	0.011568587646106	0	0.18798955362874	FALSE				FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.25	0.011568587646106	0	0	0	0	0	1	0	0.861872055895125	22	0.765	0	247499999	0.711540540155298	0	SLX-10722_SLX-11823.D702_D507	1.5	0.25	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.011568587646106	0	0					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.3	0	0.0527325238776398	0	0	0	0	1	0	0.910885721588324	22	0.762333333333335	0	247499999	0.711540540155298	0	SLX-10722_SLX-11823.D702_D507	1.5	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.35	0	0.0527325238776398	0	0	0	0	1	0	0.935698888476254	22	0.76042857142857	0	197499999	0.711540540155298	2.78352393591425	SLX-10722_SLX-11823.D702_D507	1.5	0.35	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	2.78352393591425					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.4	0	0.0527325238776398	0	0	0	0	1	0	0.935698888476254	22	0.759	0	197499999	0.711540540155298	4.9304909771471	SLX-10722_SLX-11823.D702_D507	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	4.9304909771471					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.45	0	0.0527325238776398	0	0	0	0	1	0.0527325238776398	0.935698888476254	22	0.75788888888889	0	197499999	0.711540540155298	3.94615053251176	SLX-10722_SLX-11823.D702_D507	1.5	0.45	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.820087283532668	33.6271576305995	0.001	0	-29.6538494674882					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.5	0	0.0527325238776398	0	0	0	0	1	0.0527325238776398	0.935698888476254	22	0.757	0	197499999	0.711540540155298	2.61025992907788	SLX-10722_SLX-11823.D702_D507	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.820087283532668	33.6271576305995	0.001	0	-30.9897400709221					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.55	0	0.0527325238776398	0	0	0	0	1	0.0527325238776398	0.935698888476254	22	0.756272727272725	0	197499999	0.711540540155298	1.51725852626829	SLX-10722_SLX-11823.D702_D507	1.5	0.55	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.820087283532668	33.6271576305995	0.001	0	-32.0827414737317					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.6	0	0.0527325238776398	0	0	0	0	1	0.0527325238776398	0.94726747612236	22	0.755666666666665	0	197499999	0.711540540155298	0.606424023927182	SLX-10722_SLX-11823.D702_D507	1.5	0.6	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	50	0.001	0	-49.3935759760728					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.65	0	0.0527325238776398	0	0	0	0	1	0	0.94726747612236	22	0.755153846153845	0	197499999	0.711540540155298	0	SLX-10722_SLX-11823.D702_D507	1.5	0.65	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.7	0	0.0527325238776398	0	0	0	0	1	0	0.94726747612236	22	0.754714285714285	0	197499999	0.711540540155298	0	SLX-10722_SLX-11823.D702_D507	1.5	0.7	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.75	0	0	0	0	0	0	1	0	0.94726747612236	22	0.754333333333335	0	197499999	0.711540540155298	0	SLX-10722_SLX-11823.D702_D507	1.5	0.75	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-10722_SLX-11823.D702_D507:1.5:0.8	0	0	0	0	0	0	1	0	0.94726747612236	22	0.754	0	197499999	0.711540540155298	0	SLX-10722_SLX-11823.D702_D507	1.5	0.8	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
