sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-10722_SLX-11823.D708_D505:1.5:0.04	0.265194197733455	0.0380833392294202	0	0	0.248608498774332	0.513802696507787	0.933444831148804	0.019767066203532	0.360291612664702	30	0.7995	133.999999	197499999	0.727369036270764	24.0817671324797	SLX-10722_SLX-11823.D708_D505	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.0309001204218559	0.0477408721042599	0.265194197733455	0	24.0817671324797					FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.06	0.389397122586338	0.0380833392294202	0	0	0.12440557392145	0.428506940937881	0.98476666474347	0.194769079307017	0.149410467830118	30	0.876166666666666	89.499999	31999999	0.727369036270764	14.6471031748674	SLX-10722_SLX-11823.D708_D505	1.5	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.22898127938414	2.62162131541989	0.389397122586338	0	12.0471031748674					FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.08	0.268012868678295	0.0264769883677935	0	0	0.0919440607036136	0.248608498774332	0.977875393341329	0.133061019414452	0.462984599955467	30	0.7745	60.999999	197499999	0.727369036270764	12.4666309912581	SLX-10722_SLX-11823.D708_D505	1.5	0.08	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.247778777672703	3.06971613324895	0.268012868678295	0	9.4666309912581					FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.1	0.190758093704078	0.0264769883677935	0	0	0.0578504050702537	0.248608498774332	1	0.152856103712538	0.387180619609688	30	0.7695	60.999999	197499999	0.727369036270764	7.46389282816101	SLX-10722_SLX-11823.D708_D505	1.5	0.1	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.249430923048129	3.11078926863209	0.190758093704078	0	4.26389282816101					FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.15	0.081788504107726	0	0	0	0.0426170698137238	0.12440557392145	0.993471427799015	0.0805190598052639	0.481844921783091	30	0.762833333333335	60.999999	197499999	0.727369036270764	3.83378329681565	SLX-10722_SLX-11823.D708_D505	1.5	0.15	0	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	0.155395678225037	1.20739084055097	0.081788504107726	0	2.63378329681565					FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.2	0.103913110766397	0	0	0	0.0204924631550523	0.0694567559318804	1	0.037539290790383	0.625353782349805	30	0.75475	38.499999	197499999	0.727369036270764	2.08270529977197	SLX-10722_SLX-11823.D708_D505	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.100199305429618	0.501995040428894	0.103913110766397	0	1.48270529977197	FALSE				FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.25	0.0578504050702537	0	0	0	0.00652857220098447	0.0496896897283485	1	0.0152333352565299	0.77188396438072	30	0.7575	17.999999	197499999	0.727369036270764	1.94406380892121	SLX-10722_SLX-11823.D708_D505	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0667788882757633	0.222970995967344	0.0578504050702537	0	1.74406380892121	FALSE				FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.3	0.0496896897283485	0	0	0	0	0.0426170698137238	1	0.0221246066586715	0.777819170217426	30	0.756166666666665	0	197499999	0.727369036270764	2.10405917230005	SLX-10722_SLX-11823.D708_D505	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0995792781957049	0.49580163229888	0.0496896897283485	0	1.70405917230005	FALSE				FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.35	0.0426170698137238	0	0	0	0	0.0426170698137238	1	0.0221246066586715	0.87559442607855	30	0.755214285714285	0	197499999	0.727369036270764	2.01819030909814	SLX-10722_SLX-11823.D708_D505	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.177842567348639	1.58139893805776	0.0426170698137238	0	0.418190309098136	FALSE				FALSE
SLX-10722_SLX-11823.D708_D505:1.5:0.4	0.0426170698137238	0	0	0	0	0.0204924631550523	1	0.0204924631550523	0.87559442607855	30	0.75225	0	197499999	0.727369036270764	1.2394766901142	SLX-10722_SLX-11823.D708_D505	1.5	0.4	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.164723030561246	1.35668383986405	0.0426170698137238	0	-0.160523309885801	FALSE				FALSE
