sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12456_SLX-12458.D703_D505:1.5:0.04	0.219579183763365	0.132954133093641	0	0	0.123366962451664	0.342946146215029	0.946637457218697	0.20229645130743	0.209136759517008	26	0.9555	89.499999	197499999	0.526244112154108	25.3302964269945	SLX-12456_SLX-12458.D703_D505	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.255791951063353	3.27147611143984	0.219579183763365	0	22.1302964269945					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.06	0.219760073741348	0.173292597821977	0	0	0.123366962451664	0.26105218102733	1	0.150298322919595	0.338264256294975	26	0.815666666666665	89.499999	247499999	0.526244112154108	10.2546567397778	SLX-12456_SLX-12458.D703_D505	1.5	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.227127405991525	2.57934292762196	0.219760073741348	0	7.65465673977785					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.08	0.21688708070688	0.101841056880636	0	0	0.0160992073168902	0.123366962451664	1	0.178023683304003	0.360694613564816	26	0.799	31.999999	247499999	0.526244112154108	7.5722805195965	SLX-12456_SLX-12458.D703_D505	1.5	0.08	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.27846423177611	3.87711641893296	0.21688708070688	0	3.7722805195965					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.1	0.118844713363879	0.0403384647283366	0	0	0.0160992073168902	0.123366962451664	1	0	0.478334556623516	26	0.789	31.999999	247499999	0.526244112154108	9.64265674312168	SLX-12456_SLX-12458.D703_D505	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.118844713363879	0	9.64265674312168	FALSE				FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.15	0.118844713363879	0	0	0	0.00452224908778468	0.0832093880630896	1	0.107267755134773	0.621237638144419	26	0.775666666666665	12.499999	247499999	0.526244112154108	2.39590281000761	SLX-12456_SLX-12458.D703_D505	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.283205951640131	4.01028055221961	0.118844713363879	0	-1.60409718999239	FALSE				FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.2	0.0649395010104084	0	0	0	0.00452224908778468	0.0160992073168902	1	0.0115769582291055	0.698609354244334	26	0.769	12.499999	158999999	0.526244112154108	0.298106680911226	SLX-12456_SLX-12458.D703_D505	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0384118033925008	0.0737733319932069	0.0649395010104084	0	0.298106680911226	FALSE				FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.25	0.0115769582291055	0	0	0	0.00452224908778468	0.00452224908778468	1	0.0115769582291055	0.858544039750078	26	0.765	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.25	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0818414311327111	0.334900992492514	0.0115769582291055	0	-0.4					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.3	0	0	0	0	0.00452224908778468	0.00452224908778468	1	0.00452224908778468	0.876633037548336	26	0.762333333333335	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0366568893155373	0.0671863767145777	0.001	0	0					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.35	0	0	0	0	0.00452224908778468	0.00452224908778468	0.995477750912215	0	0.881155286636121	26	0.76042857142857	12.499999	247499999	0.526244112154108	0.365817675247013	SLX-12456_SLX-12458.D703_D505	1.5	0.35	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0.365817675247013					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.4	0	0	0	0	0.00452224908778468	0.00452224908778468	0.995477750912215	0	0.876633037548336	26	0.759	12.499999	247499999	0.526244112154108	0.0621809293466227	SLX-12456_SLX-12458.D703_D505	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0.0621809293466227					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.45	0	0	0	0	0.00452224908778468	0.00452224908778468	1	0.00452224908778468	0.91679061193691	26	0.75788888888889	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.45	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0543478229206048	0.147684292810471	0.001	0	-0.2					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.5	0	0	0	0	0.00452224908778468	0.00452224908778468	1	0	0.98390079268311	26	0.757	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.55	0	0	0	0	0.00452224908778468	0.00452224908778468	1	0	0.98390079268311	26	0.756272727272725	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.55	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.6	0	0	0	0	0.00452224908778468	0.00452224908778468	1	0	0.988423041770895	26	0.755666666666665	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.6	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.65	0	0	0	0	0.00452224908778468	0.00452224908778468	1	0	1	26	0.755153846153845	12.499999	247499999	0.526244112154108	0	SLX-12456_SLX-12458.D703_D505	1.5	0.65	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		1	0.001	0	-1					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.7	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0	1	26	0.754714285714285	0	247499999	0.526244112154108	0.0104980789805983	SLX-12456_SLX-12458.D703_D505	1.5	0.7	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		1	0.00452224908778468	0	-0.989501921019402					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.75	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0	1	26	0.754333333333335	0	247499999	0.526244112154108	0.137551752797074	SLX-12456_SLX-12458.D703_D505	1.5	0.75	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE		1	0.00452224908778468	0	-0.862448247202926					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.8	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0	0.995477750912215	26	0.754	0	247499999	0.526244112154108	0.248723717386491	SLX-12456_SLX-12458.D703_D505	1.5	0.8	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452224908778468	0	0.248723717386491					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.85	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0	0.995477750912215	26	0.75370588235294	0	247499999	0.526244112154108	0.346816627318327	SLX-12456_SLX-12458.D703_D505	1.5	0.85	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452224908778468	0	0.346816627318327					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.9	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0	0.995477750912215	26	0.753444444444445	0	247499999	0.526244112154108	0.434010325035517	SLX-12456_SLX-12458.D703_D505	1.5	0.9	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452224908778468	0	0.434010325035517					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:0.95	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0	0.995477750912215	26	0.75321052631579	0	247499999	0.526244112154108	0.39242414262295	SLX-12456_SLX-12458.D703_D505	1.5	0.95	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452224908778468	0	0.39242414262295					FALSE
SLX-12456_SLX-12458.D703_D505:1.5:1	0.00452224908778468	0	0	0	0	0.00452224908778468	1	0.00452224908778468	0.995477750912215	26	0.753	0	247499999	0.526244112154108	0.322210270250681	SLX-12456_SLX-12458.D703_D505	1.5	1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	1	50	0.00452224908778468	0	-49.6777897297493					FALSE
SLX-12456_SLX-12458.D703_D505:1.6:0.04	0.190455897669949	0.20151143438726	0	0	0.123366962451664	0.26105218102733	0.988423041770895	0.144531090599186	0.361056393520781	26	0.874399999999995	89.499999	247499999	0.420837455054958	14.1311639845823	SLX-12456_SLX-12458.D703_D505	1.6	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.226203203433865	2.55839446218713	0.190455897669949	0	11.5311639845823					FALSE
