sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12456_SLX-12458.D705_D505:1.5:0.04	0.248113554162443	0.133026322527426	0	0	0.125605804364674	0.373719358527117	0.923622983200175	0.196252692562733	0.290152034756831	27	0.948	89.499999	197499999	0.517163980139812	24.5745785776435	SLX-12456_SLX-12458.D705_D505	1.5	0.04	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.276471444833266	3.82182299040968	0.248113554162443	0	20.7745785776435					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.06	0.190559308546272	0.174653606992412	0	0	0.125605804364674	0.224815296036014	1	0.215173702690673	0.413076549690759	27	0.782833333333335	89.499999	247499999	0.517163980139812	9.32661214324461	SLX-12456_SLX-12458.D705_D505	1.5	0.06	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.366612890620235	6.72025057844622	0.190559308546272	0	2.52661214324461					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.08	0.16596617255129	0.103163270368953	0	0	0.0962857171528776	0.174110640235854	0.99619924826908	0.145361480646845	0.564744654844963	27	0.789499999999999	89.499999	247499999	0.517163980139812	5.15775628079816	SLX-12456_SLX-12458.D705_D505	1.5	0.08	0	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.333968283824446	5.5767407300323	0.16596617255129	0	-0.442243719201842					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.1	0.165785183994414	0.0416272844649857	0	0	0.0199087003530527	0.125605804364674	1	0.0568302921126191	0.514610925581661	27	0.789	31.999999	247499999	0.517163980139812	8.73485217688693	SLX-12456_SLX-12458.D705_D505	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.117081935106844	0.685408976418162	0.165785183994414	0	8.13485217688693	FALSE				FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.15	0.117280348123235	0	0	0	0.00832545624143964	0.125605804364674	1	0.105697104011622	0.592978813249337	27	0.775666666666665	12.499999	247499999	0.517163980139812	4.13895865931453	SLX-12456_SLX-12458.D705_D505	1.5	0.15	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.259684526143281	3.37180265591301	0.117280348123235	0	0.73895865931453	FALSE				FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.2	0.0917610126423581	0	0	0	0.00452470451051949	0.0199087003530527	1	0.0224425354436268	0.733557419499	27	0.7595	12.499999	247499999	0.517163980139812	0.490297015191802	SLX-12456_SLX-12458.D705_D505	1.5	0.2	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0842302885725976	0.354737075651153	0.0917610126423581	0	0.0902970151918016	FALSE				FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.25	0.0153839958425332	0	0	0	0.00452470451051949	0.00832545624143964	1	0	0.837291615680859	27	0.7575	12.499999	247499999	0.517163980139812	0.285056404181281	SLX-12456_SLX-12458.D705_D505	1.5	0.25	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	0	0.0153839958425332	0	0.285056404181281	FALSE				FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.3	0.00380075173092015	0	0	0	0.00452470451051949	0.00832545624143964	1	0.00832545624143964	0.874394195635326	27	0.756166666666665	12.499999	247499999	0.517163980139812	0.133026321951265	SLX-12456_SLX-12458.D705_D505	1.5	0.3	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0662824165137157	0.219667936944884	0.00380075173092015	0	-0.0669736780487354	FALSE				FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.35	0.00380075173092015	0	0	0	0.00452470451051949	0.00832545624143964	0.995475295489481	0.00380075173092015	0.878918900145845	27	0.755214285714285	12.499999	247499999	0.517163980139812	0.319670396117573	SLX-12456_SLX-12458.D705_D505	1.5	0.35	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.031390132196505	0.049267019965703	0.00380075173092015	0	0.319670396117573	FALSE				FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.4	0.00380075173092015	0	0	0	0.00452470451051949	0.00452470451051949	0.995475295489481	0	0.874394195635326	27	0.7545	12.499999	247499999	0.517163980139812	0.123298206570475	SLX-12456_SLX-12458.D705_D505	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00380075173092015	0	0.123298206570475					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.45	0	0	0	0	0.00452470451051949	0.00452470451051949	1	0.00452470451051949	0.903714282847122	27	0.753944444444445	12.499999	247499999	0.517163980139812	0	SLX-12456_SLX-12458.D705_D505	1.5	0.45	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0469924786802532	0.110414652625703	0.001	0	-0.2					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.5	0	0	0	0	0.00452470451051949	0.00452470451051949	1	0.00452470451051949	0.969232008314934	27	0.7535	12.499999	247499999	0.517163980139812	0	SLX-12456_SLX-12458.D705_D505	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.147058818685121	1.08131480765317	0.001	0	-1					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.55	0	0	0	0	0.00452470451051949	0.00452470451051949	1	0	0.980091299646947	27	0.753136363636365	12.499999	247499999	0.517163980139812	0	SLX-12456_SLX-12458.D705_D505	1.5	0.55	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.6	0	0	0	0	0.00452470451051949	0.00452470451051949	1	0	0.99619924826908	27	0.752833333333335	12.499999	247499999	0.517163980139812	0	SLX-12456_SLX-12458.D705_D505	1.5	0.6	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.65	0	0	0	0	0.00452470451051949	0.00452470451051949	1	0	0.99619924826908	27	0.752576923076925	12.499999	247499999	0.517163980139812	0	SLX-12456_SLX-12458.D705_D505	1.5	0.65	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.7	0.00452470451051949	0	0	0	0.00452470451051949	0.00452470451051949	1	0	0.99619924826908	27	0.752357142857145	12.499999	247499999	0.517163980139812	0	SLX-12456_SLX-12458.D705_D505	1.5	0.7	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452470451051949	0	0					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.75	0.00452470451051949	0	0	0	0	0.00452470451051949	1	0	0.99619924826908	27	0.752166666666665	0	247499999	0.517163980139812	0.108215857142893	SLX-12456_SLX-12458.D705_D505	1.5	0.75	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452470451051949	0	0.108215857142893					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.8	0.00452470451051949	0	0	0	0	0.00452470451051949	1	0	0.99167454375856	27	0.752	0	247499999	0.517163980139812	0.221710536585441	SLX-12456_SLX-12458.D705_D505	1.5	0.8	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452470451051949	0	0.221710536585441					FALSE
SLX-12456_SLX-12458.D705_D505:1.5:0.85	0.00452470451051949	0	0	0	0	0.00452470451051949	1	0	0.99167454375856	27	0.75185294117647	0	247499999	0.517163980139812	0.321852900799453	SLX-12456_SLX-12458.D705_D505	1.5	0.85	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.00452470451051949	0	0.321852900799453					FALSE
