sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-10729.D711_D501:1.5:0.04	0.301830980413716	0.237560512140896	0	0.0410397535702131	0.0115706791610374	0.244158375029735	1	0.153311502228395	0.25443558058237	24	0.8985	31.999999	247499999	0.563472653412721	14.4899415358804	SLX-10729.D711_D501	1.5	0.04	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.205631462869632	2.11421492609524	0.301830980413716	0	12.2899415358804					TRUE
SLX-10729.D711_D501:1.5:0.06	0.124112576428876	0.0791868372597709	0.0410397535702131	0.0124746384987422	0.0115706791610374	0.107632584862282	1	0.205769074712472	0.272453342214717	24	0.8485	31.999999	113499999	0.563472653412721	5.62170129174145	SLX-10729.D711_D501	1.5	0.06	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.28282595007563	3.99952590180915	0.124112576428876	0	1.62170129174145					TRUE
SLX-10729.D711_D501:1.5:0.08	0.12878523300299	0.0177176026574299	0.0535143920689553	0	0	0.0752708409340344	1	0.165152329999089	0.296498660597664	24	0.8235	0	31999999	0.563472653412721	4.14919913083167	SLX-10729.D711_D501	1.5	0.08	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.23475766249343	2.75555800496895	0.12878523300299	0	1.34919913083167					TRUE
SLX-10729.D711_D501:1.5:0.1	0.0752708409340344	0.0177176026574299	0.0535143920689553	0	0	0.0115706791610374	1	0.063700161772997	0.420883465104257	24	0.8085	0	0	0.563472653412721	0.859122947099141	SLX-10729.D711_D501	1.5	0.1	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	0.109995411863805	0.604949531554408	0.0752708409340344	0	0.259122947099141					TRUE
SLX-10729.D711_D501:1.5:0.15	0.0115706791610374	0.0410397535702131	0	0	0	0	1	0.0115706791610374	0.577038469418595	24	0.7885	0	145864021	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.15	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0273563393463521	0.0374184651216386	0.0115706791610374	0	0					TRUE
SLX-10729.D711_D501:1.5:0.2	0	0.0535143920689553	0	0	0	0	1	0	0.702327232901309	24	0.7785	0	189499999	0.506040818422299	4.13968175109482	SLX-10729.D711_D501	1.5	0.2	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	4.13968175109482					TRUE
SLX-10729.D711_D501:1.5:0.25	0	0.0535143920689553	0	0	0	0	1	0.0535143920689553	0.838853023068763	24	0.7725	0	247499999	0.506040818422299	3.49154291158505	SLX-10729.D711_D501	1.5	0.25	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.332084368494176	5.51400138990877	0.001	0	-2.10845708841495					TRUE
SLX-10729.D711_D501:1.5:0.3	0	0.0535143920689553	0	0	0	0	1	0.0535143920689553	0.87121476699701	24	0.7685	0	247499999	0.506040818422299	1.44377370967497	SLX-10729.D711_D501	1.5	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.415532051471406	8.63334429000175	0.001	0	-7.15622629032503					TRUE
SLX-10729.D711_D501:1.5:0.35	0	0.0535143920689553	0	0	0	0	1	0	0.934914928770007	24	0.765642857142855	0	247499999	0.506040818422299	0.145240436899084	SLX-10729.D711_D501	1.5	0.35	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0.145240436899084					TRUE
SLX-10729.D711_D501:1.5:0.4	0	0.0535143920689553	0	0	0	0	1	0	0.934914928770007	24	0.7635	0	247499999	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					TRUE
SLX-10729.D711_D501:1.5:0.45	0	0	0	0	0	0	1	0	0.934914928770007	24	0.761833333333335	0	247499999	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.45	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					TRUE
SLX-10729.D711_D501:1.5:0.5	0	0	0	0	0	0	1	0	0.946485607931045	24	0.7605	0	247499999	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.5	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					TRUE
SLX-10729.D711_D501:1.5:0.55	0	0	0	0	0	0	1	0	0.946485607931045	24	0.75940909090909	0	247499999	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.55	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					TRUE
SLX-10729.D711_D501:1.5:0.6	0	0	0	0	0	0	1	0	0.946485607931045	24	0.7585	0	247499999	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.6	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					TRUE
SLX-10729.D711_D501:1.5:0.65	0	0	0	0	0	0	1	0	0.946485607931045	24	0.75773076923077	0	247499999	0.506040818422299	0	SLX-10729.D711_D501	1.5	0.65	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0	0	0.001	0	0					TRUE
