sample_sol	frac_at_odd	frac_at_2	frac_at_3	frac_at_4	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	goodness_of_fit	sample	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	frac_3_fail	frac_4_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12452.D712_D501:1.5:0.04	0.0291022288767247	0.223599112796742	0.0323558942573978	0.0131954203489894	0	0.0291022288767247	1	0.360746177802778	0.230106443558088	25	0.923249999999995	0	80499999	0.43380330698299	10.5334704359455	SLX-12452.D712_D501	1.5	0.04	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.468566303464051	10.9777190370982	0.0291022288767247	0	-0.466529564054524					FALSE
SLX-12452.D712_D501:1.5:0.06	0.0746535434831119	0.153957668026774	0.0455513146063872	0	0	0.0291022288767247	1	0.0347057636989951	0.229049815002678	25	0.864916666666665	0	0	0.43380330698299	8.4673412022634	SLX-12452.D712_D501	1.5	0.06	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0.0450168692794537	0.101325925986171	0.0746535434831119	0	8.2673412022634					FALSE
SLX-12452.D712_D501:1.5:0.08	0.0291022288767247	0.0753274220502095	0.0131954203489894	0.0209680654250419	0	0.0291022288767247	1	0.0209680654250419	0.383298815143082	25	0.83575	0	0	0.407016917540817	4.23313766330983	SLX-12452.D712_D501	1.5	0.08	0	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	0.0340003650713055	0.0578012412491025	0.0291022288767247	0	4.23313766330983					FALSE
SLX-12452.D712_D501:1.5:0.1	0.0291022288767247	0.0753274220502095	0.0209680654250419	0	0	0	1	0.0291022288767247	0.432646073055106	25	0.81825	0	0	0.392942712918658	0.83053725016114	SLX-12452.D712_D501	1.5	0.1	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	0.0512946636915609	0.131557126161517	0.0291022288767247	0	0.63053725016114					FALSE
SLX-12452.D712_D501:1.5:0.15	0	0.0455513146063872	0.0209680654250419	0.00180759151663337	0	0	1	0.0533239596824397	0.815132511941387	25	0.794916666666665	0	247499999	0.392942712918658	3.54137372260553	SLX-12452.D712_D501	1.5	0.15	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.288444226956408	4.16000360322399	0.001	0	-0.658626277394467					FALSE
SLX-12452.D712_D501:1.5:0.2	0	0.0455513146063872	0.00180759151663337	0	0	0	1	0.0455513146063872	0.923538865000255	25	0.78325	0	247499999	0.375009452190424	2.4488350747936	SLX-12452.D712_D501	1.5	0.2	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.595744682661838	17.7455863459927	0.001	0	-15.3511649252064					FALSE
SLX-12452.D712_D501:1.5:0.25	0.00180759151663337	0.0665193800314291	0.00180759151663337	0	0	0	1	0.0131954203489894	0.902570799575213	25	0.77625	0	247499999	0.375009452190424	0.614581233017034	SLX-12452.D712_D501	1.5	0.25	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.135435991381002	0.917145388067739	0.00180759151663337	0	-0.385418766982966					FALSE
SLX-12452.D712_D501:1.5:0.3	0	0.0341634857740312	0.00180759151663337	0	0	0	1	0.00180759151663337	0.902570799575213	25	0.771583333333335	0	247499999	0.375009452190424	1.31655953255276	SLX-12452.D712_D501	1.5	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.0185528723293668	0.0172104535834893	0.001	0	1.31655953255276					FALSE
SLX-12452.D712_D501:1.5:0.35	0	0.0341634857740312	0	0	0	0	1	0.0209680654250419	0.931673028451937	25	0.76825	0	247499999	0.373647432388279	1.99346395069116	SLX-12452.D712_D501	1.5	0.35	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.306878308082081	4.70871479856602	0.001	0	-2.80653604930884					FALSE
SLX-12452.D712_D501:1.5:0.4	0	0.0209680654250419	0	0	0	0	1	0.0209680654250419	0.933480619968571	25	0.76575	0	247499999	0.373647432388279	1.28953603421868	SLX-12452.D712_D501	1.5	0.4	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	0.315217391008979	4.96810017972538	0.001	0	-3.71046396578132					FALSE
