sample	sample_sol	frac_at_odd	frac_at_2	frac_homdel	floh_strict	frac_subclonal	frac_tight_50_CCF_subclonal	frac_tight_clonal	N_segments	integer_offset	biggest_homdel_Mb	max_abberant_clonal_segment	gii	wgii	goodness_of_fit	ploidy	purity	num_gds	homdel_size_fail	homdel_frac_fail	loh_fail	purity_fail	size_clonal_cn_change_fail	bio_plausible_sol	frac_subclonal_tight50CCF	extra_int_score	frac_at_odd_lim	missing_cn_score	solution_fit_score	selected_solution_auto	flag_goodness_of_fit	flag_segmentation	flag_poor_solution	low_purity
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.025	0.0874382876338262	0.229049815002678	0.0291022288767247	0.0638079925757198	1	0.337115882744672	0.168265570797171	25	0.936	80.499999	145864021	0.492881141392004	0.476129215916193	13.8962488279958	1.5	0.025	0	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	0.405316734414588	8.21408275982527	0.0874382876338262	0	5.69624882799584					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.05	0.0614581231341226	0.276331636731573	0	0.0291022288767247	1	0.236022338571826	0.271347464228392	25	0.88825	0	80499999	0.132134963980475	0.183247569420082	8.8150605701908	1.5	0.05	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0.323916169895559	5.24608425599044	0.0614581231341226	0	3.61506057019079					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.075	0.0422976492257141	0.0753274220502095	0	0.0291022288767247	1	0	0.348893155801102	25	0.84158333333333	0	89499999	0.0997790697581685	0.137793023965536	7.2622664762974	1.5	0.075	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	0	0	0.0422976492257141	0	7.2622664762974					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.15	0	0.0455513146063872	0	0	1	0.0533239596824397	0.815132511941387	25	0.794916666666665	0	247499999	0.0518778857621355	0.0923384788540442	3.54137372260553	1.5	0.15	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.288444226956408	4.16000360322399	0.001	0	-0.658626277394467					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.2	0	0.0455513146063872	0	0	1	0.0455513146063872	0.923538865000255	25	0.78325	0	247499999	0.0309098203598347	0.0468839333994987	2.4488350747936	1.5	0.2	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.595744682661838	17.7455863459927	0.001	0	-15.3511649252064					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.25	0.00180759151663337	0.0665193800314291	0	0	1	0.0131954203489894	0.902570799575213	25	0.77625	0	247499999	0.0309098203598347	0.0468839333994987	0.614581233017034	1.5	0.25	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.135435991381002	0.917145388067739	0.00180759151663337	0	-0.385418766982966					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.3	0	0.0341634857740312	0	0	1	0.00180759151663337	0.902570799575213	25	0.771583333333335	0	247499999	0.00180759151467294	0.00142938794495327	1.31655953255276	1.5	0.3	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	0.0185528723293668	0.0172104535834893	0.001	0	1.31655953255276					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.35	0	0.0341634857740312	0	0	1	0.0209680654250419	0.931673028451937	25	0.76825	0	247499999	0	0	1.99346395069116	1.5	0.35	0	FALSE	FALSE		FALSE	FALSE		0.306878308082081	4.70871479856602	0.001	0	-2.80653604930884					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.4	0	0.0209680654250419	0	0	1	0.0209680654250419	0.933480619968571	25	0.76575	0	247499999	0	0	1.28953603421868	1.5	0.4	0	FALSE	FALSE		FALSE	FALSE		0.315217391008979	4.96810017972538	0.001	0	-3.71046396578132					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.45	0	0.0209680654250419	0	0	1	0.0209680654250419	0.933480619968571	25	0.763805555555555	0	247499999	0	0	0.742036543629021	1.5	0.45	0	FALSE	FALSE		FALSE	FALSE		0.315217391008979	4.96810017972538	0.001	0	-4.25796345637098					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.5	0	0.0227756569416752	0	0	1	0	0.931673028451937	25	0.76225	0	247499999	0	0	0.332506522980833	1.5	0.5	0	FALSE	FALSE		FALSE	FALSE		0	0	0.001	0	0.332506522980833					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.55	0	0.0227756569416752	0	0	1	0	0.964028922709335	25	0.760977272727275	0	247499999	0	0	0.0912423073884286	1.5	0.55	0	FALSE	FALSE		FALSE	FALSE		0	0	0.001	0	0.0912423073884286					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.6	0	0.0227756569416752	0	0	1	0	0.964028922709335	25	0.759916666666665	0	247499999	0	0	0.143552920359123	1.5	0.6	0	FALSE	FALSE		FALSE	FALSE		0	0	0.001	0	0.143552920359123					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.65	0	0.00180759151663337	0	0	1	0	0.977224343058325	25	0.75901923076923	0	247499999	0	0	0.173702625644013	1.5	0.65	0	FALSE	FALSE		FALSE	FALSE		0	0	0.001	0	0.173702625644013					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.7	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.75825	0	247499999	0	0	0.135763060192737	1.5	0.7	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.264236939807263					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.75	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.757583333333335	0	247499999	0	0	0.102882103468289	1.5	0.75	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.297117896531711					FALSE
SLX-12452.D712_D501	SLX-12452.D712_D501:1.5:0.8	0	0.00180759151663337	0	0	1	0.00180759151663337	0.977224343058325	25	0.757	0	247499999	0	0	0.0741112663344068	1.5	0.8	0	FALSE	FALSE		FALSE	FALSE		0.0793650660115892	0.314940685151196	0.001	0	-0.325888733665593					FALSE
