"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-10722_SLX-11823.D704_D508","1",1000001,248500000,1.007,2.28,367,183500000,367,2,0.05
2,"SLX-10722_SLX-11823.D704_D508","10",1,134000000,0.982,1.28,210,105000000,210,2,0.05
3,"SLX-10722_SLX-11823.D704_D508","11",500001,134500000,0.987,1.48,215,107500000,215,2,0.05
4,"SLX-10722_SLX-11823.D704_D508","12",1000001,133500000,0.999,1.96,213,106500000,213,2,0.05
5,"SLX-10722_SLX-11823.D704_D508","13",20000001,115169878,0.987,1.48,166,82669878,165.339756,2,0.05
6,"SLX-10722_SLX-11823.D704_D508","14",20500001,31000000,1.093,5.72,19,9500000,19,2,0.05
7,"SLX-10722_SLX-11823.D704_D508","14",31000001,51000000,1.272,12.88,35,17500000,35,2,0.05
8,"SLX-10722_SLX-11823.D704_D508","14",51000001,67500000,1.071,4.84,29,14500000,29,2,0.05
9,"SLX-10722_SLX-11823.D704_D508","14",67500001,70500000,1.844,35.76,6,3000000,6,2,0.05
10,"SLX-10722_SLX-11823.D704_D508","14",70500001,106000000,0.992,1.68,61,30500000,61,2,0.05
11,"SLX-10722_SLX-11823.D704_D508","15",22000001,102500000,0.995,1.8,134,67000000,134,2,0.05
12,"SLX-10722_SLX-11823.D704_D508","16",500001,14500000,0.698,-10.08,22,11000000,22,2,0.05
13,"SLX-10722_SLX-11823.D704_D508","16",15500001,21000000,1.528,23.12,7,3500000,7,2,0.05
14,"SLX-10722_SLX-11823.D704_D508","16",22000001,90000000,0.957,0.279999999999998,89,44500000,89,2,0.05
15,"SLX-10722_SLX-11823.D704_D508","17",1,8500000,0.988,1.52,16,8000000,16,2,0.05
16,"SLX-10722_SLX-11823.D704_D508","17",8500001,18000000,0.826,-4.96,17,8500000,17,2,0.05
17,"SLX-10722_SLX-11823.D704_D508","17",26000001,81000000,1.025,3,88,44000000,88,2,0.05
18,"SLX-10722_SLX-11823.D704_D508","18",500001,34500000,1.177,9.08,51,25500000,51,2,0.05
19,"SLX-10722_SLX-11823.D704_D508","18",34500001,78077248,1.025,3,76,37577248,75.154496,2,0.05
