"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-12455.D703_D508","1",1000001,152000000,0.999,1.96,202,101000000,202,2,0.05
2,"SLX-12455.D703_D508","1",152000001,155000000,1.96,40.4,6,3000000,6,2,0.05
3,"SLX-12455.D703_D508","1",155000001,174500000,1.183,9.32,33,16500000,33,2,0.05
4,"SLX-12455.D703_D508","1",174500001,215000000,0.846,-4.16,73,36500000,73,2,0.05
5,"SLX-12455.D703_D508","1",215000001,224000000,1.127,7.08,15,7500000,15,2,0.05
6,"SLX-12455.D703_D508","1",224500001,248500000,1.616,26.64,38,19000000,38,2,0.05
7,"SLX-12455.D703_D508","10",1,134000000,0.987,1.48,210,105000000,210,2,0.05
8,"SLX-12455.D703_D508","11",500001,134500000,0.992,1.68,215,107500000,215,2,0.05
9,"SLX-12455.D703_D508","12",1000001,77500000,1.01,2.4,118,59000000,118,2,0.05
10,"SLX-12455.D703_D508","12",77500001,133500000,0.976,1.04,95,47500000,95,2,0.05
11,"SLX-12455.D703_D508","13",20000001,115169878,1.022,2.88,166,82669878,165.339756,2,0.05
12,"SLX-12455.D703_D508","14",20500001,106000000,1.002,2.08,150,75000000,150,2,0.05
13,"SLX-12455.D703_D508","15",22000001,102500000,0.992,1.68,134,67000000,134,2,0.05
14,"SLX-12455.D703_D508","16",500001,90000000,0.987,1.48,118,59000000,118,2,0.05
15,"SLX-12455.D703_D508","17",1,81000000,0.993,1.72,121,60500000,121,2,0.05
16,"SLX-12455.D703_D508","18",500001,78077248,1.014,2.56,127,63077248,126.154496,2,0.05
17,"SLX-12455.D703_D508","19",1000001,59000000,0.999,1.96,79,39500000,79,2,0.05
18,"SLX-12455.D703_D508","2",1000001,243000000,0.996,1.84,385,192500000,385,2,0.05
19,"SLX-12455.D703_D508","20",1,62500000,1.027,3.08,106,53000000,106,2,0.05
20,"SLX-12455.D703_D508","21",15500001,48000000,0.987,1.48,51,25500000,51,2,0.05
21,"SLX-12455.D703_D508","22",19000001,51000000,0.976,1.04,54,27000000,54,2,0.05
22,"SLX-12455.D703_D508","3",1,197500000,1.004,2.16,335,167500000,335,2,0.05
23,"SLX-12455.D703_D508","4",500001,11500000,0.946,-0.160000000000002,15,7500000,15,2,0.05
24,"SLX-12455.D703_D508","4",11500001,176000000,1.001,2.04,275,137500000,275,2,0.05
25,"SLX-12455.D703_D508","4",176000001,190000000,0.962,0.479999999999999,26,13000000,26,2,0.05
26,"SLX-12455.D703_D508","5",500001,8500000,0.934,-0.639999999999998,13,6500000,13,2,0.05
27,"SLX-12455.D703_D508","5",8500001,177000000,0.999,1.96,281,140500000,281,2,0.05
28,"SLX-12455.D703_D508","5",177500001,180500000,0.916,-1.36,5,2500000,5,2,0.05
29,"SLX-12455.D703_D508","6",500001,63500000,1.009,2.36,93,46500000,93,2,0.05
30,"SLX-12455.D703_D508","6",63500001,104500000,0.87,-3.2,73,36500000,73,2,0.05
31,"SLX-12455.D703_D508","6",105000001,159500000,1.013,2.52,96,48000000,96,2,0.05
32,"SLX-12455.D703_D508","6",159500001,170500000,0.966,0.639999999999999,21,10500000,21,2,0.05
33,"SLX-12455.D703_D508","7",1,159000000,1.011,2.44,251,125500000,251,2,0.05
34,"SLX-12455.D703_D508","8",500001,146364022,1.062,4.48,243,121364022,242.728044,2,0.05
35,"SLX-12455.D703_D508","9",500001,18000000,0.802,-5.92,30,15000000,30,2,0.05
36,"SLX-12455.D703_D508","9",18000001,91500000,1.13,7.2,70,35000000,70,2,0.05
37,"SLX-12455.D703_D508","9",91500001,103000000,1.667,28.68,20,10000000,20,2,0.05
38,"SLX-12455.D703_D508","9",103000001,140500000,1.006,2.24,64,32000000,64,2,0.05
39,"SLX-12455.D703_D508","1",1000001,152000000,0.999,1.98,202,101000000,202,2,0.1
40,"SLX-12455.D703_D508","1",152000001,155000000,1.96,21.2,6,3000000,6,2,0.1
41,"SLX-12455.D703_D508","1",155000001,174500000,1.183,5.66,33,16500000,33,2,0.1
42,"SLX-12455.D703_D508","1",174500001,215000000,0.846,-1.08,73,36500000,73,2,0.1
43,"SLX-12455.D703_D508","1",215000001,224000000,1.127,4.54,15,7500000,15,2,0.1
44,"SLX-12455.D703_D508","1",224500001,248500000,1.616,14.32,38,19000000,38,2,0.1
45,"SLX-12455.D703_D508","10",1,134000000,0.987,1.74,210,105000000,210,2,0.1
46,"SLX-12455.D703_D508","11",500001,134500000,0.992,1.84,215,107500000,215,2,0.1
47,"SLX-12455.D703_D508","12",1000001,77500000,1.01,2.2,118,59000000,118,2,0.1
48,"SLX-12455.D703_D508","12",77500001,133500000,0.976,1.52,95,47500000,95,2,0.1
49,"SLX-12455.D703_D508","13",20000001,115169878,1.022,2.44,166,82669878,165.339756,2,0.1
50,"SLX-12455.D703_D508","14",20500001,106000000,1.002,2.04,150,75000000,150,2,0.1
51,"SLX-12455.D703_D508","15",22000001,102500000,0.992,1.84,134,67000000,134,2,0.1
52,"SLX-12455.D703_D508","16",500001,90000000,0.987,1.74,118,59000000,118,2,0.1
53,"SLX-12455.D703_D508","17",1,81000000,0.993,1.86,121,60500000,121,2,0.1
54,"SLX-12455.D703_D508","18",500001,78077248,1.014,2.28,127,63077248,126.154496,2,0.1
55,"SLX-12455.D703_D508","19",1000001,59000000,0.999,1.98,79,39500000,79,2,0.1
56,"SLX-12455.D703_D508","2",1000001,243000000,0.996,1.92,385,192500000,385,2,0.1
57,"SLX-12455.D703_D508","20",1,62500000,1.027,2.54,106,53000000,106,2,0.1
58,"SLX-12455.D703_D508","21",15500001,48000000,0.987,1.74,51,25500000,51,2,0.1
59,"SLX-12455.D703_D508","22",19000001,51000000,0.976,1.52,54,27000000,54,2,0.1
60,"SLX-12455.D703_D508","3",1,197500000,1.004,2.08,335,167500000,335,2,0.1
61,"SLX-12455.D703_D508","4",500001,11500000,0.946,0.919999999999999,15,7500000,15,2,0.1
62,"SLX-12455.D703_D508","4",11500001,176000000,1.001,2.02,275,137500000,275,2,0.1
63,"SLX-12455.D703_D508","4",176000001,190000000,0.962,1.24,26,13000000,26,2,0.1
64,"SLX-12455.D703_D508","5",500001,8500000,0.934,0.680000000000001,13,6500000,13,2,0.1
65,"SLX-12455.D703_D508","5",8500001,177000000,0.999,1.98,281,140500000,281,2,0.1
66,"SLX-12455.D703_D508","5",177500001,180500000,0.916,0.320000000000001,5,2500000,5,2,0.1
67,"SLX-12455.D703_D508","6",500001,63500000,1.009,2.18,93,46500000,93,2,0.1
68,"SLX-12455.D703_D508","6",63500001,104500000,0.87,-0.6,73,36500000,73,2,0.1
69,"SLX-12455.D703_D508","6",105000001,159500000,1.013,2.26,96,48000000,96,2,0.1
70,"SLX-12455.D703_D508","6",159500001,170500000,0.966,1.32,21,10500000,21,2,0.1
71,"SLX-12455.D703_D508","7",1,159000000,1.011,2.22,251,125500000,251,2,0.1
