"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-10729.D711_D501","1",1000001,248500000,1.006,1.977,367,183500000,367,1.5,0.025
2,"SLX-10729.D711_D501","10",1,134000000,0.993,0.9435,210,105000000,210,1.5,0.025
3,"SLX-10729.D711_D501","11",500001,134500000,1,1.5,215,107500000,215,1.5,0.025
4,"SLX-10729.D711_D501","12",1000001,133500000,1.006,1.977,213,106500000,213,1.5,0.025
5,"SLX-10729.D711_D501","13",20000001,115169878,0.987,0.466499999999999,166,82669878,165.339756,1.5,0.025
6,"SLX-10729.D711_D501","14",20500001,106000000,0.993,0.9435,150,75000000,150,1.5,0.025
7,"SLX-10729.D711_D501","15",22000001,102500000,0.993,0.9435,134,67000000,134,1.5,0.025
8,"SLX-10729.D711_D501","16",500001,90000000,0.99,0.704999999999999,118,59000000,118,1.5,0.025
9,"SLX-10729.D711_D501","17",1,81000000,0.987,0.466499999999999,121,60500000,121,1.5,0.025
10,"SLX-10729.D711_D501","18",500001,78077248,0.991,0.784499999999999,127,63077248,126.154496,1.5,0.025
11,"SLX-10729.D711_D501","19",1000001,59000000,1.006,1.977,79,39500000,79,1.5,0.025
12,"SLX-10729.D711_D501","2",1000001,243000000,1,1.5,385,192500000,385,1.5,0.025
13,"SLX-10729.D711_D501","20",1,62500000,0.998,1.341,106,53000000,106,1.5,0.025
14,"SLX-10729.D711_D501","21",15500001,48000000,0.994,1.023,51,25500000,51,1.5,0.025
15,"SLX-10729.D711_D501","22",19000001,51000000,0.977,-0.328500000000002,54,27000000,54,1.5,0.025
16,"SLX-10729.D711_D501","3",1,113500000,1.056,5.952,193,96500000,193,1.5,0.025
17,"SLX-10729.D711_D501","3",113500001,162500000,1.013,2.53349999999999,82,41000000,82,1.5,0.025
18,"SLX-10729.D711_D501","3",163000001,197500000,1.062,6.429,60,30000000,60,1.5,0.025
19,"SLX-10729.D711_D501","4",500001,190000000,0.996,1.182,316,158000000,316,1.5,0.025
20,"SLX-10729.D711_D501","5",500001,180500000,1.001,1.57949999999999,299,149500000,299,1.5,0.025
21,"SLX-10729.D711_D501","6",500001,170500000,1.009,2.21549999999999,283,141500000,283,1.5,0.025
22,"SLX-10729.D711_D501","7",1,159000000,0.994,1.023,251,125500000,251,1.5,0.025
23,"SLX-10729.D711_D501","8",500001,146364022,0.999,1.4205,243,121364022,242.728044,1.5,0.025
24,"SLX-10729.D711_D501","9",500001,140500000,0.998,1.341,184,92000000,184,1.5,0.025
25,"SLX-10729.D711_D501","1",1000001,248500000,1.006,1.737,367,183500000,367,1.5,0.05
26,"SLX-10729.D711_D501","10",1,134000000,0.993,1.2235,210,105000000,210,1.5,0.05
27,"SLX-10729.D711_D501","11",500001,134500000,1,1.5,215,107500000,215,1.5,0.05
28,"SLX-10729.D711_D501","12",1000001,133500000,1.006,1.737,213,106500000,213,1.5,0.05
29,"SLX-10729.D711_D501","13",20000001,115169878,0.987,0.986499999999999,166,82669878,165.339756,1.5,0.05
30,"SLX-10729.D711_D501","14",20500001,106000000,0.993,1.2235,150,75000000,150,1.5,0.05
31,"SLX-10729.D711_D501","15",22000001,102500000,0.993,1.2235,134,67000000,134,1.5,0.05
32,"SLX-10729.D711_D501","16",500001,90000000,0.99,1.105,118,59000000,118,1.5,0.05
33,"SLX-10729.D711_D501","17",1,81000000,0.987,0.986499999999999,121,60500000,121,1.5,0.05
34,"SLX-10729.D711_D501","18",500001,78077248,0.991,1.1445,127,63077248,126.154496,1.5,0.05
35,"SLX-10729.D711_D501","19",1000001,59000000,1.006,1.737,79,39500000,79,1.5,0.05
36,"SLX-10729.D711_D501","2",1000001,243000000,1,1.5,385,192500000,385,1.5,0.05
37,"SLX-10729.D711_D501","20",1,62500000,0.998,1.421,106,53000000,106,1.5,0.05
38,"SLX-10729.D711_D501","21",15500001,48000000,0.994,1.263,51,25500000,51,1.5,0.05
39,"SLX-10729.D711_D501","22",19000001,51000000,0.977,0.591499999999999,54,27000000,54,1.5,0.05
40,"SLX-10729.D711_D501","3",1,113500000,1.056,3.712,193,96500000,193,1.5,0.05
41,"SLX-10729.D711_D501","3",113500001,162500000,1.013,2.0135,82,41000000,82,1.5,0.05
42,"SLX-10729.D711_D501","3",163000001,197500000,1.062,3.949,60,30000000,60,1.5,0.05
43,"SLX-10729.D711_D501","4",500001,190000000,0.996,1.342,316,158000000,316,1.5,0.05
44,"SLX-10729.D711_D501","5",500001,180500000,1.001,1.5395,299,149500000,299,1.5,0.05
45,"SLX-10729.D711_D501","6",500001,170500000,1.009,1.8555,283,141500000,283,1.5,0.05
46,"SLX-10729.D711_D501","7",1,159000000,0.994,1.263,251,125500000,251,1.5,0.05
47,"SLX-10729.D711_D501","8",500001,146364022,0.999,1.4605,243,121364022,242.728044,1.5,0.05
48,"SLX-10729.D711_D501","9",500001,140500000,0.998,1.421,184,92000000,184,1.5,0.05
49,"SLX-10729.D711_D501","1",1000001,248500000,1.006,1.657,367,183500000,367,1.5,0.075
50,"SLX-10729.D711_D501","10",1,134000000,0.993,1.31683333333333,210,105000000,210,1.5,0.075
51,"SLX-10729.D711_D501","11",500001,134500000,1,1.5,215,107500000,215,1.5,0.075
52,"SLX-10729.D711_D501","12",1000001,133500000,1.006,1.657,213,106500000,213,1.5,0.075
53,"SLX-10729.D711_D501","13",20000001,115169878,0.987,1.15983333333333,166,82669878,165.339756,1.5,0.075
54,"SLX-10729.D711_D501","14",20500001,106000000,0.993,1.31683333333333,150,75000000,150,1.5,0.075
55,"SLX-10729.D711_D501","15",22000001,102500000,0.993,1.31683333333333,134,67000000,134,1.5,0.075
56,"SLX-10729.D711_D501","16",500001,90000000,0.99,1.23833333333333,118,59000000,118,1.5,0.075
57,"SLX-10729.D711_D501","17",1,81000000,0.987,1.15983333333333,121,60500000,121,1.5,0.075
58,"SLX-10729.D711_D501","18",500001,78077248,0.991,1.2645,127,63077248,126.154496,1.5,0.075
59,"SLX-10729.D711_D501","19",1000001,59000000,1.006,1.657,79,39500000,79,1.5,0.075
60,"SLX-10729.D711_D501","2",1000001,243000000,1,1.5,385,192500000,385,1.5,0.075
61,"SLX-10729.D711_D501","20",1,62500000,0.998,1.44766666666667,106,53000000,106,1.5,0.075
62,"SLX-10729.D711_D501","21",15500001,48000000,0.994,1.343,51,25500000,51,1.5,0.075
63,"SLX-10729.D711_D501","22",19000001,51000000,0.977,0.898166666666666,54,27000000,54,1.5,0.075
64,"SLX-10729.D711_D501","3",1,113500000,1.056,2.96533333333333,193,96500000,193,1.5,0.075
65,"SLX-10729.D711_D501","3",113500001,162500000,1.013,1.84016666666666,82,41000000,82,1.5,0.075
66,"SLX-10729.D711_D501","3",163000001,197500000,1.062,3.12233333333333,60,30000000,60,1.5,0.075
67,"SLX-10729.D711_D501","4",500001,190000000,0.996,1.39533333333333,316,158000000,316,1.5,0.075
68,"SLX-10729.D711_D501","5",500001,180500000,1.001,1.52616666666666,299,149500000,299,1.5,0.075
69,"SLX-10729.D711_D501","6",500001,170500000,1.009,1.7355,283,141500000,283,1.5,0.075
70,"SLX-10729.D711_D501","7",1,159000000,0.994,1.343,251,125500000,251,1.5,0.075
71,"SLX-10729.D711_D501","8",500001,146364022,0.999,1.47383333333333,243,121364022,242.728044,1.5,0.075
72,"SLX-10729.D711_D501","9",500001,140500000,0.998,1.44766666666667,184,92000000,184,1.5,0.075
73,"SLX-10729.D711_D501","1",1000001,248500000,1.006,1.617,367,183500000,367,1.5,0.1
74,"SLX-10729.D711_D501","10",1,134000000,0.993,1.3635,210,105000000,210,1.5,0.1
75,"SLX-10729.D711_D501","11",500001,134500000,1,1.5,215,107500000,215,1.5,0.1
76,"SLX-10729.D711_D501","12",1000001,133500000,1.006,1.617,213,106500000,213,1.5,0.1
77,"SLX-10729.D711_D501","13",20000001,115169878,0.987,1.2465,166,82669878,165.339756,1.5,0.1
78,"SLX-10729.D711_D501","14",20500001,106000000,0.993,1.3635,150,75000000,150,1.5,0.1
79,"SLX-10729.D711_D501","15",22000001,102500000,0.993,1.3635,134,67000000,134,1.5,0.1
80,"SLX-10729.D711_D501","16",500001,90000000,0.99,1.305,118,59000000,118,1.5,0.1
81,"SLX-10729.D711_D501","17",1,81000000,0.987,1.2465,121,60500000,121,1.5,0.1
82,"SLX-10729.D711_D501","18",500001,78077248,0.991,1.3245,127,63077248,126.154496,1.5,0.1
83,"SLX-10729.D711_D501","19",1000001,59000000,1.006,1.617,79,39500000,79,1.5,0.1
84,"SLX-10729.D711_D501","2",1000001,243000000,1,1.5,385,192500000,385,1.5,0.1
85,"SLX-10729.D711_D501","20",1,62500000,0.998,1.461,106,53000000,106,1.5,0.1
86,"SLX-10729.D711_D501","21",15500001,48000000,0.994,1.383,51,25500000,51,1.5,0.1
87,"SLX-10729.D711_D501","22",19000001,51000000,0.977,1.0515,54,27000000,54,1.5,0.1
88,"SLX-10729.D711_D501","3",1,113500000,1.056,2.592,193,96500000,193,1.5,0.1
89,"SLX-10729.D711_D501","3",113500001,162500000,1.013,1.7535,82,41000000,82,1.5,0.1
90,"SLX-10729.D711_D501","3",163000001,197500000,1.062,2.709,60,30000000,60,1.5,0.1
91,"SLX-10729.D711_D501","4",500001,190000000,0.996,1.422,316,158000000,316,1.5,0.1
92,"SLX-10729.D711_D501","5",500001,180500000,1.001,1.5195,299,149500000,299,1.5,0.1
93,"SLX-10729.D711_D501","6",500001,170500000,1.009,1.6755,283,141500000,283,1.5,0.1
