"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-10722_SLX-11823.D704_D502","1",1000001,248500000,1.003,2.12,367,183500000,367,2,0.05
2,"SLX-10722_SLX-11823.D704_D502","10",1,134000000,0.977,1.08,210,105000000,210,2,0.05
3,"SLX-10722_SLX-11823.D704_D502","11",500001,134500000,0.966,0.639999999999999,215,107500000,215,2,0.05
4,"SLX-10722_SLX-11823.D704_D502","12",1000001,133500000,1.01,2.4,213,106500000,213,2,0.05
5,"SLX-10722_SLX-11823.D704_D502","13",20000001,115169878,0.989,1.56,166,82669878,165.339756,2,0.05
6,"SLX-10722_SLX-11823.D704_D502","14",20500001,106000000,0.988,1.52,150,75000000,150,2,0.05
7,"SLX-10722_SLX-11823.D704_D502","15",22000001,36500000,0.868,-3.28,16,8000000,16,2,0.05
8,"SLX-10722_SLX-11823.D704_D502","15",36500001,73500000,1.068,4.72,67,33500000,67,2,0.05
9,"SLX-10722_SLX-11823.D704_D502","15",73500001,102500000,0.92,-1.2,51,25500000,51,2,0.05
10,"SLX-10722_SLX-11823.D704_D502","16",500001,90000000,0.942,-0.320000000000002,118,59000000,118,2,0.05
11,"SLX-10722_SLX-11823.D704_D502","17",1,81000000,0.981,1.24,121,60500000,121,2,0.05
12,"SLX-10722_SLX-11823.D704_D502","18",500001,78077248,0.955,0.199999999999998,127,63077248,126.154496,2,0.05
13,"SLX-10722_SLX-11823.D704_D502","19",1000001,59000000,0.923,-1.08,79,39500000,79,2,0.05
14,"SLX-10722_SLX-11823.D704_D502","2",1000001,243000000,0.998,1.92,385,192500000,385,2,0.05
15,"SLX-10722_SLX-11823.D704_D502","20",1,62500000,0.965,0.599999999999999,106,53000000,106,2,0.05
16,"SLX-10722_SLX-11823.D704_D502","21",15500001,48000000,1.013,2.52,51,25500000,51,2,0.05
17,"SLX-10722_SLX-11823.D704_D502","22",19000001,51000000,0.924,-1.04,54,27000000,54,2,0.05
18,"SLX-10722_SLX-11823.D704_D502","3",1,197500000,1.002,2.08,335,167500000,335,2,0.05
19,"SLX-10722_SLX-11823.D704_D502","4",500001,190000000,0.995,1.8,316,158000000,316,2,0.05
20,"SLX-10722_SLX-11823.D704_D502","5",500001,7500000,0.788,-6.48,11,5500000,11,2,0.05
21,"SLX-10722_SLX-11823.D704_D502","5",7500001,180500000,0.985,1.4,288,144000000,288,2,0.05
22,"SLX-10722_SLX-11823.D704_D502","6",500001,170500000,1.023,2.92,283,141500000,283,2,0.05
23,"SLX-10722_SLX-11823.D704_D502","7",1,159000000,0.998,1.92,251,125500000,251,2,0.05
24,"SLX-10722_SLX-11823.D704_D502","8",500001,146364022,0.971,0.839999999999999,243,121364022,242.728044,2,0.05
25,"SLX-10722_SLX-11823.D704_D502","9",500001,21500000,0.993,1.72,35,17500000,35,2,0.05
26,"SLX-10722_SLX-11823.D704_D502","9",21500001,24000000,0.651,-11.96,5,2500000,5,2,0.05
27,"SLX-10722_SLX-11823.D704_D502","9",24000001,140500000,0.991,1.64,144,72000000,144,2,0.05
