sample,chromosome,start,end,copy_number,segmented
SLX-12451.D710_D505,1,1,500000,NA,NA
SLX-12451.D710_D505,1,500001,1000000,NA,NA
SLX-12451.D710_D505,1,1000001,1500000,0.984,1.002
SLX-12451.D710_D505,1,1500001,2000000,NA,NA
SLX-12451.D710_D505,1,2000001,2500000,0.975,1.002
SLX-12451.D710_D505,1,2500001,3000000,NA,NA
SLX-12451.D710_D505,1,3000001,3500000,1.006,1.002
SLX-12451.D710_D505,1,3500001,4000000,NA,NA
SLX-12451.D710_D505,1,4000001,4500000,NA,NA
SLX-12451.D710_D505,1,4500001,5000000,0.957,1.002
SLX-12451.D710_D505,1,5000001,5500000,0.944,1.002
SLX-12451.D710_D505,1,5500001,6000000,NA,NA
SLX-12451.D710_D505,1,6000001,6500000,1.006,1.002
SLX-12451.D710_D505,1,6500001,7000000,0.988,1.002
SLX-12451.D710_D505,1,7000001,7500000,0.961,1.002
SLX-12451.D710_D505,1,7500001,8000000,1.013,1.002
SLX-12451.D710_D505,1,8000001,8500000,1.05,1.002
SLX-12451.D710_D505,1,8500001,9000000,1.029,1.002
SLX-12451.D710_D505,1,9000001,9500000,1.025,1.002
SLX-12451.D710_D505,1,9500001,10000000,0.99,1.002
SLX-12451.D710_D505,1,10000001,10500000,1.033,1.002
SLX-12451.D710_D505,1,10500001,11000000,0.998,1.002
SLX-12451.D710_D505,1,11000001,11500000,0.956,1.002
SLX-12451.D710_D505,1,11500001,12000000,0.971,1.002
SLX-12451.D710_D505,1,12000001,12500000,0.989,1.002
SLX-12451.D710_D505,1,12500001,13000000,0.894,1.002
SLX-12451.D710_D505,1,13000001,13500000,NA,NA
SLX-12451.D710_D505,1,13500001,14000000,NA,NA
SLX-12451.D710_D505,1,14000001,14500000,0.945,1.002
SLX-12451.D710_D505,1,14500001,15000000,0.948,1.002
SLX-12451.D710_D505,1,15000001,15500000,0.955,1.002
SLX-12451.D710_D505,1,15500001,16000000,1.025,1.002
SLX-12451.D710_D505,1,16000001,16500000,NA,NA
SLX-12451.D710_D505,1,16500001,17000000,NA,NA
SLX-12451.D710_D505,1,17000001,17500000,1.015,1.002
SLX-12451.D710_D505,1,17500001,18000000,NA,NA
SLX-12451.D710_D505,1,18000001,18500000,0.935,1.002
SLX-12451.D710_D505,1,18500001,19000000,0.987,1.002
SLX-12451.D710_D505,1,19000001,19500000,1.019,1.002
SLX-12451.D710_D505,1,19500001,20000000,1.042,1.002
SLX-12451.D710_D505,1,20000001,20500000,0.992,1.002
SLX-12451.D710_D505,1,20500001,21000000,1,1.002
SLX-12451.D710_D505,1,21000001,21500000,1.01,1.002
SLX-12451.D710_D505,1,21500001,22000000,0.929,1.002
SLX-12451.D710_D505,1,22000001,22500000,0.972,1.002
SLX-12451.D710_D505,1,22500001,23000000,NA,NA
SLX-12451.D710_D505,1,23000001,23500000,0.974,1.002
SLX-12451.D710_D505,1,23500001,24000000,1.04,1.002
SLX-12451.D710_D505,1,24000001,24500000,NA,NA
SLX-12451.D710_D505,1,24500001,25000000,0.997,1.002
SLX-12451.D710_D505,1,25000001,25500000,NA,NA
SLX-12451.D710_D505,1,25500001,26000000,0.828,1.002
SLX-12451.D710_D505,1,26000001,26500000,0.994,1.002
SLX-12451.D710_D505,1,26500001,27000000,0.962,1.002
SLX-12451.D710_D505,1,27000001,27500000,1.023,1.002
SLX-12451.D710_D505,1,27500001,28000000,1.051,1.002
SLX-12451.D710_D505,1,28000001,28500000,NA,NA
SLX-12451.D710_D505,1,28500001,29000000,1.084,1.002
SLX-12451.D710_D505,1,29000001,29500000,0.972,1.002
SLX-12451.D710_D505,1,29500001,30000000,0.974,1.002
SLX-12451.D710_D505,1,30000001,30500000,0.938,1.002
SLX-12451.D710_D505,1,30500001,31000000,NA,NA
SLX-12451.D710_D505,1,31000001,31500000,NA,NA
SLX-12451.D710_D505,1,31500001,32000000,0.988,1.002
SLX-12451.D710_D505,1,32000001,32500000,1.025,1.002
SLX-12451.D710_D505,1,32500001,33000000,NA,NA
SLX-12451.D710_D505,1,33000001,33500000,1.035,1.002
SLX-12451.D710_D505,1,33500001,34000000,1.024,1.002
SLX-12451.D710_D505,1,34000001,34500000,0.982,1.002
SLX-12451.D710_D505,1,34500001,35000000,0.963,1.002
SLX-12451.D710_D505,1,35000001,35500000,0.994,1.002
SLX-12451.D710_D505,1,35500001,36000000,1.009,1.002
SLX-12451.D710_D505,1,36000001,36500000,0.979,1.002
SLX-12451.D710_D505,1,36500001,37000000,1.016,1.002
SLX-12451.D710_D505,1,37000001,37500000,NA,NA
