"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-13692.D707_D501","1",1000001,24000000,1.071,4.84,35,17500000,35,2,0.05
2,"SLX-13692.D707_D501","1",24500001,120000000,0.976,1.04,162,81000000,162,2,0.05
3,"SLX-13692.D707_D501","1",120000001,248500000,1.006,2.24,170,85000000,170,2,0.05
4,"SLX-13692.D707_D501","10",1,134000000,0.991,1.64,210,105000000,210,2,0.05
5,"SLX-13692.D707_D501","11",500001,134500000,1.001,2.04,215,107500000,215,2,0.05
6,"SLX-13692.D707_D501","12",1000001,133500000,0.977,1.08,213,106500000,213,2,0.05
7,"SLX-13692.D707_D501","13",20000001,115169878,1.051,4.04,166,82669878,165.339756,2,0.05
8,"SLX-13692.D707_D501","14",20500001,106000000,1.03,3.2,150,75000000,150,2,0.05
9,"SLX-13692.D707_D501","15",22000001,32500000,0.951,0.0399999999999983,12,6000000,12,2,0.05
10,"SLX-13692.D707_D501","15",33000001,102500000,1.002,2.08,122,61000000,122,2,0.05
11,"SLX-13692.D707_D501","16",500001,90000000,1.002,2.08,118,59000000,118,2,0.05
12,"SLX-13692.D707_D501","17",1,18000000,0.923,-1.08,33,16500000,33,2,0.05
13,"SLX-13692.D707_D501","17",26000001,70500000,1.082,5.28,72,36000000,72,2,0.05
14,"SLX-13692.D707_D501","17",71500001,81000000,0.942,-0.320000000000002,16,8000000,16,2,0.05
15,"SLX-13692.D707_D501","18",500001,78077248,0.975,0.999999999999999,127,63077248,126.154496,2,0.05
16,"SLX-13692.D707_D501","19",1000001,59000000,0.986,1.44,79,39500000,79,2,0.05
17,"SLX-13692.D707_D501","2",1000001,243000000,1.048,3.92,385,192500000,385,2,0.05
18,"SLX-13692.D707_D501","20",1,62500000,1.111,6.44,106,53000000,106,2,0.05
19,"SLX-13692.D707_D501","21",15500001,48000000,0.973,0.919999999999999,51,25500000,51,2,0.05
20,"SLX-13692.D707_D501","22",19000001,51000000,1.026,3.04,54,27000000,54,2,0.05
21,"SLX-13692.D707_D501","3",1,197500000,1.104,6.16,335,167500000,335,2,0.05
22,"SLX-13692.D707_D501","4",500001,190000000,0.957,0.279999999999998,316,158000000,316,2,0.05
23,"SLX-13692.D707_D501","5",500001,38500000,0.915,-1.4,62,31000000,62,2,0.05
24,"SLX-13692.D707_D501","5",38500001,150000000,0.952,0.0799999999999983,188,94000000,188,2,0.05
25,"SLX-13692.D707_D501","5",150500001,180500000,0.916,-1.36,49,24500000,49,2,0.05
26,"SLX-13692.D707_D501","6",500001,170500000,1.114,6.56,283,141500000,283,2,0.05
27,"SLX-13692.D707_D501","7",1,159000000,0.999,1.96,251,125500000,251,2,0.05
28,"SLX-13692.D707_D501","8",500001,146364022,1.103,6.12,243,121364022,242.728044,2,0.05
29,"SLX-13692.D707_D501","9",500001,140500000,1.046,3.84,184,92000000,184,2,0.05
30,"SLX-13692.D707_D501","1",1000001,24000000,1.071,3.42,35,17500000,35,2,0.1
31,"SLX-13692.D707_D501","1",24500001,120000000,0.976,1.52,162,81000000,162,2,0.1
32,"SLX-13692.D707_D501","1",120000001,248500000,1.006,2.12,170,85000000,170,2,0.1
33,"SLX-13692.D707_D501","10",1,134000000,0.991,1.82,210,105000000,210,2,0.1
34,"SLX-13692.D707_D501","11",500001,134500000,1.001,2.02,215,107500000,215,2,0.1
35,"SLX-13692.D707_D501","12",1000001,133500000,0.977,1.54,213,106500000,213,2,0.1
36,"SLX-13692.D707_D501","13",20000001,115169878,1.051,3.02,166,82669878,165.339756,2,0.1
37,"SLX-13692.D707_D501","14",20500001,106000000,1.03,2.6,150,75000000,150,2,0.1
38,"SLX-13692.D707_D501","15",22000001,32500000,0.951,1.02,12,6000000,12,2,0.1
39,"SLX-13692.D707_D501","15",33000001,102500000,1.002,2.04,122,61000000,122,2,0.1
40,"SLX-13692.D707_D501","16",500001,90000000,1.002,2.04,118,59000000,118,2,0.1
41,"SLX-13692.D707_D501","17",1,18000000,0.923,0.460000000000001,33,16500000,33,2,0.1
42,"SLX-13692.D707_D501","17",26000001,70500000,1.082,3.64,72,36000000,72,2,0.1
43,"SLX-13692.D707_D501","17",71500001,81000000,0.942,0.839999999999999,16,8000000,16,2,0.1
44,"SLX-13692.D707_D501","18",500001,78077248,0.975,1.5,127,63077248,126.154496,2,0.1
45,"SLX-13692.D707_D501","19",1000001,59000000,0.986,1.72,79,39500000,79,2,0.1
46,"SLX-13692.D707_D501","2",1000001,243000000,1.048,2.96,385,192500000,385,2,0.1
47,"SLX-13692.D707_D501","20",1,62500000,1.111,4.22,106,53000000,106,2,0.1
48,"SLX-13692.D707_D501","21",15500001,48000000,0.973,1.46,51,25500000,51,2,0.1
49,"SLX-13692.D707_D501","22",19000001,51000000,1.026,2.52,54,27000000,54,2,0.1
50,"SLX-13692.D707_D501","3",1,197500000,1.104,4.08,335,167500000,335,2,0.1
51,"SLX-13692.D707_D501","4",500001,190000000,0.957,1.14,316,158000000,316,2,0.1
52,"SLX-13692.D707_D501","5",500001,38500000,0.915,0.300000000000001,62,31000000,62,2,0.1
53,"SLX-13692.D707_D501","5",38500001,150000000,0.952,1.04,188,94000000,188,2,0.1
54,"SLX-13692.D707_D501","5",150500001,180500000,0.916,0.320000000000001,49,24500000,49,2,0.1
55,"SLX-13692.D707_D501","6",500001,170500000,1.114,4.28,283,141500000,283,2,0.1
56,"SLX-13692.D707_D501","7",1,159000000,0.999,1.98,251,125500000,251,2,0.1
57,"SLX-13692.D707_D501","8",500001,146364022,1.103,4.06,243,121364022,242.728044,2,0.1
58,"SLX-13692.D707_D501","9",500001,140500000,1.046,2.92,184,92000000,184,2,0.1
59,"SLX-13692.D707_D501","1",1000001,24000000,1.071,2.94666666666667,35,17500000,35,2,0.15
60,"SLX-13692.D707_D501","1",24500001,120000000,0.976,1.68,162,81000000,162,2,0.15
61,"SLX-13692.D707_D501","1",120000001,248500000,1.006,2.08,170,85000000,170,2,0.15
62,"SLX-13692.D707_D501","10",1,134000000,0.991,1.88,210,105000000,210,2,0.15
63,"SLX-13692.D707_D501","11",500001,134500000,1.001,2.01333333333333,215,107500000,215,2,0.15
64,"SLX-13692.D707_D501","12",1000001,133500000,0.977,1.69333333333333,213,106500000,213,2,0.15
65,"SLX-13692.D707_D501","13",20000001,115169878,1.051,2.68,166,82669878,165.339756,2,0.15
66,"SLX-13692.D707_D501","14",20500001,106000000,1.03,2.4,150,75000000,150,2,0.15
67,"SLX-13692.D707_D501","15",22000001,32500000,0.951,1.34666666666667,12,6000000,12,2,0.15
68,"SLX-13692.D707_D501","15",33000001,102500000,1.002,2.02666666666667,122,61000000,122,2,0.15
69,"SLX-13692.D707_D501","16",500001,90000000,1.002,2.02666666666667,118,59000000,118,2,0.15
70,"SLX-13692.D707_D501","17",1,18000000,0.923,0.973333333333334,33,16500000,33,2,0.15
71,"SLX-13692.D707_D501","17",26000001,70500000,1.082,3.09333333333333,72,36000000,72,2,0.15
72,"SLX-13692.D707_D501","17",71500001,81000000,0.942,1.22666666666667,16,8000000,16,2,0.15
73,"SLX-13692.D707_D501","18",500001,78077248,0.975,1.66666666666667,127,63077248,126.154496,2,0.15
74,"SLX-13692.D707_D501","19",1000001,59000000,0.986,1.81333333333333,79,39500000,79,2,0.15
75,"SLX-13692.D707_D501","2",1000001,243000000,1.048,2.64,385,192500000,385,2,0.15
76,"SLX-13692.D707_D501","20",1,62500000,1.111,3.48,106,53000000,106,2,0.15
77,"SLX-13692.D707_D501","21",15500001,48000000,0.973,1.64,51,25500000,51,2,0.15
78,"SLX-13692.D707_D501","22",19000001,51000000,1.026,2.34666666666667,54,27000000,54,2,0.15
79,"SLX-13692.D707_D501","3",1,197500000,1.104,3.38666666666667,335,167500000,335,2,0.15
80,"SLX-13692.D707_D501","4",500001,190000000,0.957,1.42666666666667,316,158000000,316,2,0.15
81,"SLX-13692.D707_D501","5",500001,38500000,0.915,0.866666666666667,62,31000000,62,2,0.15
82,"SLX-13692.D707_D501","5",38500001,150000000,0.952,1.36,188,94000000,188,2,0.15
83,"SLX-13692.D707_D501","5",150500001,180500000,0.916,0.88,49,24500000,49,2,0.15
84,"SLX-13692.D707_D501","6",500001,170500000,1.114,3.52,283,141500000,283,2,0.15
85,"SLX-13692.D707_D501","7",1,159000000,0.999,1.98666666666667,251,125500000,251,2,0.15
86,"SLX-13692.D707_D501","8",500001,146364022,1.103,3.37333333333333,243,121364022,242.728044,2,0.15
87,"SLX-13692.D707_D501","9",500001,140500000,1.046,2.61333333333333,184,92000000,184,2,0.15
88,"SLX-13692.D707_D501","1",1000001,24000000,1.071,5.3755,35,17500000,35,2.5,0.05
89,"SLX-13692.D707_D501","1",24500001,120000000,0.976,1.528,162,81000000,162,2.5,0.05
90,"SLX-13692.D707_D501","1",120000001,248500000,1.006,2.743,170,85000000,170,2.5,0.05
91,"SLX-13692.D707_D501","10",1,134000000,0.991,2.1355,210,105000000,210,2.5,0.05
92,"SLX-13692.D707_D501","11",500001,134500000,1.001,2.5405,215,107500000,215,2.5,0.05
93,"SLX-13692.D707_D501","12",1000001,133500000,0.977,1.5685,213,106500000,213,2.5,0.05
94,"SLX-13692.D707_D501","13",20000001,115169878,1.051,4.5655,166,82669878,165.339756,2.5,0.05
95,"SLX-13692.D707_D501","14",20500001,106000000,1.03,3.715,150,75000000,150,2.5,0.05
96,"SLX-13692.D707_D501","15",22000001,32500000,0.951,0.515499999999998,12,6000000,12,2.5,0.05
97,"SLX-13692.D707_D501","15",33000001,102500000,1.002,2.581,122,61000000,122,2.5,0.05
98,"SLX-13692.D707_D501","16",500001,90000000,1.002,2.581,118,59000000,118,2.5,0.05
99,"SLX-13692.D707_D501","17",1,18000000,0.923,-0.618499999999998,33,16500000,33,2.5,0.05
100,"SLX-13692.D707_D501","17",26000001,70500000,1.082,5.821,72,36000000,72,2.5,0.05
101,"SLX-13692.D707_D501","17",71500001,81000000,0.942,0.150999999999998,16,8000000,16,2.5,0.05
102,"SLX-13692.D707_D501","18",500001,78077248,0.975,1.4875,127,63077248,126.154496,2.5,0.05
103,"SLX-13692.D707_D501","19",1000001,59000000,0.986,1.933,79,39500000,79,2.5,0.05
104,"SLX-13692.D707_D501","2",1000001,243000000,1.048,4.444,385,192500000,385,2.5,0.05
105,"SLX-13692.D707_D501","20",1,62500000,1.111,6.9955,106,53000000,106,2.5,0.05
106,"SLX-13692.D707_D501","21",15500001,48000000,0.973,1.4065,51,25500000,51,2.5,0.05
