sample,chromosome,start,end,copy_number,segmented
SLX-12455.D703_D508,1,1,500000,NA,NA
SLX-12455.D703_D508,1,500001,1000000,NA,NA
SLX-12455.D703_D508,1,1000001,1500000,0.967,0.999
SLX-12455.D703_D508,1,1500001,2000000,NA,NA
SLX-12455.D703_D508,1,2000001,2500000,0.985,0.999
SLX-12455.D703_D508,1,2500001,3000000,NA,NA
SLX-12455.D703_D508,1,3000001,3500000,0.987,0.999
SLX-12455.D703_D508,1,3500001,4000000,NA,NA
SLX-12455.D703_D508,1,4000001,4500000,NA,NA
SLX-12455.D703_D508,1,4500001,5000000,0.909,0.999
SLX-12455.D703_D508,1,5000001,5500000,0.978,0.999
SLX-12455.D703_D508,1,5500001,6000000,NA,NA
SLX-12455.D703_D508,1,6000001,6500000,0.994,0.999
SLX-12455.D703_D508,1,6500001,7000000,0.973,0.999
SLX-12455.D703_D508,1,7000001,7500000,0.965,0.999
SLX-12455.D703_D508,1,7500001,8000000,0.954,0.999
SLX-12455.D703_D508,1,8000001,8500000,1.023,0.999
SLX-12455.D703_D508,1,8500001,9000000,1.035,0.999
SLX-12455.D703_D508,1,9000001,9500000,1.007,0.999
SLX-12455.D703_D508,1,9500001,10000000,0.968,0.999
SLX-12455.D703_D508,1,10000001,10500000,1.018,0.999
SLX-12455.D703_D508,1,10500001,11000000,0.988,0.999
SLX-12455.D703_D508,1,11000001,11500000,0.974,0.999
SLX-12455.D703_D508,1,11500001,12000000,0.974,0.999
SLX-12455.D703_D508,1,12000001,12500000,0.994,0.999
SLX-12455.D703_D508,1,12500001,13000000,0.887,0.999
SLX-12455.D703_D508,1,13000001,13500000,NA,NA
SLX-12455.D703_D508,1,13500001,14000000,NA,NA
SLX-12455.D703_D508,1,14000001,14500000,0.962,0.999
SLX-12455.D703_D508,1,14500001,15000000,0.943,0.999
SLX-12455.D703_D508,1,15000001,15500000,0.97,0.999
SLX-12455.D703_D508,1,15500001,16000000,0.985,0.999
SLX-12455.D703_D508,1,16000001,16500000,NA,NA
SLX-12455.D703_D508,1,16500001,17000000,NA,NA
SLX-12455.D703_D508,1,17000001,17500000,0.913,0.999
SLX-12455.D703_D508,1,17500001,18000000,NA,NA
SLX-12455.D703_D508,1,18000001,18500000,0.926,0.999
SLX-12455.D703_D508,1,18500001,19000000,0.964,0.999
SLX-12455.D703_D508,1,19000001,19500000,0.966,0.999
SLX-12455.D703_D508,1,19500001,20000000,1.052,0.999
SLX-12455.D703_D508,1,20000001,20500000,1.02,0.999
SLX-12455.D703_D508,1,20500001,21000000,1.061,0.999
SLX-12455.D703_D508,1,21000001,21500000,1.046,0.999
SLX-12455.D703_D508,1,21500001,22000000,0.905,0.999
SLX-12455.D703_D508,1,22000001,22500000,0.957,0.999
SLX-12455.D703_D508,1,22500001,23000000,NA,NA
SLX-12455.D703_D508,1,23000001,23500000,0.998,0.999
SLX-12455.D703_D508,1,23500001,24000000,1.051,0.999
SLX-12455.D703_D508,1,24000001,24500000,NA,NA
SLX-12455.D703_D508,1,24500001,25000000,1.016,0.999
SLX-12455.D703_D508,1,25000001,25500000,NA,NA
SLX-12455.D703_D508,1,25500001,26000000,0.898,0.999
SLX-12455.D703_D508,1,26000001,26500000,0.978,0.999
SLX-12455.D703_D508,1,26500001,27000000,0.92,0.999
SLX-12455.D703_D508,1,27000001,27500000,0.985,0.999
SLX-12455.D703_D508,1,27500001,28000000,1.009,0.999
SLX-12455.D703_D508,1,28000001,28500000,NA,NA
SLX-12455.D703_D508,1,28500001,29000000,1.103,0.999
SLX-12455.D703_D508,1,29000001,29500000,1.01,0.999
SLX-12455.D703_D508,1,29500001,30000000,0.954,0.999
SLX-12455.D703_D508,1,30000001,30500000,0.97,0.999
SLX-12455.D703_D508,1,30500001,31000000,NA,NA
SLX-12455.D703_D508,1,31000001,31500000,NA,NA
SLX-12455.D703_D508,1,31500001,32000000,1.005,0.999
SLX-12455.D703_D508,1,32000001,32500000,1.043,0.999
SLX-12455.D703_D508,1,32500001,33000000,NA,NA
SLX-12455.D703_D508,1,33000001,33500000,1.032,0.999
SLX-12455.D703_D508,1,33500001,34000000,1.006,0.999
