"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-12451.D701_D508","1",1000001,248500000,0.978,1.12,367,183500000,367,2,0.05
2,"SLX-12451.D701_D508","10",1,11000000,0.814,-5.44,18,9000000,18,2,0.05
3,"SLX-12451.D701_D508","10",11000001,17500000,0.929,-0.839999999999998,13,6500000,13,2,0.05
4,"SLX-12451.D701_D508","10",19000001,25500000,0.825,-5,12,6000000,12,2,0.05
5,"SLX-12451.D701_D508","10",25500001,37500000,0.958,0.319999999999999,20,10000000,20,2,0.05
6,"SLX-12451.D701_D508","10",43500001,67000000,0.582,-14.72,34,17000000,34,2,0.05
7,"SLX-12451.D701_D508","10",67000001,107000000,0.693,-10.28,64,32000000,64,2,0.05
8,"SLX-12451.D701_D508","10",107000001,134000000,0.819,-5.24,49,24500000,49,2,0.05
9,"SLX-12451.D701_D508","11",500001,134500000,0.815,-5.4,215,107500000,215,2,0.05
10,"SLX-12451.D701_D508","12",1000001,3500000,1.303,14.12,5,2500000,5,2,0.05
11,"SLX-12451.D701_D508","12",3500001,9500000,0.941,-0.360000000000002,10,5000000,10,2,0.05
12,"SLX-12451.D701_D508","12",10000001,97000000,1,2,136,68000000,136,2,0.05
13,"SLX-12451.D701_D508","12",97000001,131000000,0.948,-0.0800000000000018,59,29500000,59,2,0.05
14,"SLX-12451.D701_D508","12",131500001,133500000,0.658,-11.68,3,1500000,3,2,0.05
15,"SLX-12451.D701_D508","13",20000001,32500000,0.645,-12.2,20,10000000,20,2,0.05
16,"SLX-12451.D701_D508","13",32500001,115169878,0.696,-10.16,146,72669878,145.339756,2,0.05
17,"SLX-12451.D701_D508","14",20500001,70500000,0.955,0.199999999999998,89,44500000,89,2,0.05
18,"SLX-12451.D701_D508","14",70500001,106000000,0.917,-1.32,61,30500000,61,2,0.05
19,"SLX-12451.D701_D508","15",22000001,36500000,0.888,-2.48,16,8000000,16,2,0.05
20,"SLX-12451.D701_D508","15",36500001,73500000,0.99,1.6,67,33500000,67,2,0.05
21,"SLX-12451.D701_D508","15",73500001,102500000,0.923,-1.08,51,25500000,51,2,0.05
22,"SLX-12451.D701_D508","16",500001,90000000,0.91,-1.6,118,59000000,118,2,0.05
23,"SLX-12451.D701_D508","17",1,18000000,0.607,-13.72,33,16500000,33,2,0.05
24,"SLX-12451.D701_D508","17",26000001,81000000,0.985,1.4,88,44000000,88,2,0.05
25,"SLX-12451.D701_D508","18",500001,23000000,0.762,-7.52,30,15000000,30,2,0.05
26,"SLX-12451.D701_D508","18",23000001,78077248,0.487,-18.52,97,48077248,96.154496,2,0.05
27,"SLX-12451.D701_D508","19",1000001,59000000,0.916,-1.36,79,39500000,79,2,0.05
28,"SLX-12451.D701_D508","2",1000001,243000000,1.065,4.6,385,192500000,385,2,0.05
29,"SLX-12451.D701_D508","20",1,62500000,0.961,0.439999999999999,106,53000000,106,2,0.05
30,"SLX-12451.D701_D508","21",15500001,20000000,1.211,10.44,7,3500000,7,2,0.05
31,"SLX-12451.D701_D508","21",20000001,48000000,0.637,-12.52,44,22000000,44,2,0.05
32,"SLX-12451.D701_D508","22",19000001,51000000,0.881,-2.76,54,27000000,54,2,0.05
33,"SLX-12451.D701_D508","3",1,87000000,0.746,-8.16,152,76000000,152,2,0.05
34,"SLX-12451.D701_D508","3",87000001,125000000,0.804,-5.84,60,30000000,60,2,0.05
35,"SLX-12451.D701_D508","3",125500001,144000000,0.744,-8.24,30,15000000,30,2,0.05
36,"SLX-12451.D701_D508","3",144000001,197500000,0.79,-6.4,93,46500000,93,2,0.05
37,"SLX-12451.D701_D508","4",500001,23000000,0.612,-13.52,33,16500000,33,2,0.05
38,"SLX-12451.D701_D508","4",23000001,49000000,0.983,1.32,47,23500000,47,2,0.05
39,"SLX-12451.D701_D508","4",53000001,190000000,0.671,-11.16,236,118000000,236,2,0.05
40,"SLX-12451.D701_D508","5",500001,55500000,1.126,7.04,84,42000000,84,2,0.05
41,"SLX-12451.D701_D508","5",55500001,81000000,0.663,-11.48,40,20000000,40,2,0.05
42,"SLX-12451.D701_D508","5",81000001,84000000,1.135,7.4,6,3000000,6,2,0.05
