"segment","sample","chromosome","start","end","copy_number","absolute_copy_number","bin_count","sum_of_bin_lengths","weight","ploidy","cellularity"
1,"SLX-10722_SLX-11823.D701_D504","1",1000001,248500000,1.002,2.08,367,183500000,367,2,0.05
2,"SLX-10722_SLX-11823.D701_D504","10",1,134000000,0.973,0.919999999999999,210,1.05e+08,210,2,0.05
3,"SLX-10722_SLX-11823.D701_D504","11",500001,134500000,0.971,0.839999999999999,215,107500000,215,2,0.05
4,"SLX-10722_SLX-11823.D701_D504","12",1000001,133500000,1.002,2.08,213,106500000,213,2,0.05
5,"SLX-10722_SLX-11823.D701_D504","13",20000001,115169878,0.979,1.16,166,82669878,165.339756,2,0.05
6,"SLX-10722_SLX-11823.D701_D504","14",20500001,106000000,0.982,1.28,150,7.5e+07,150,2,0.05
7,"SLX-10722_SLX-11823.D701_D504","15",22000001,36500000,0.891,-2.36,16,8e+06,16,2,0.05
8,"SLX-10722_SLX-11823.D701_D504","15",36500001,73500000,1.044,3.76,67,33500000,67,2,0.05
9,"SLX-10722_SLX-11823.D701_D504","15",73500001,102500000,0.934,-0.639999999999998,51,25500000,51,2,0.05
10,"SLX-10722_SLX-11823.D701_D504","16",500001,90000000,0.941,-0.360000000000002,118,5.9e+07,118,2,0.05
11,"SLX-10722_SLX-11823.D701_D504","17",1,81000000,0.976,1.04,121,60500000,121,2,0.05
12,"SLX-10722_SLX-11823.D701_D504","18",500001,78077248,0.969,0.759999999999999,127,63077248,126.154496,2,0.05
13,"SLX-10722_SLX-11823.D701_D504","19",1000001,59000000,0.931,-0.759999999999998,79,39500000,79,2,0.05
14,"SLX-10722_SLX-11823.D701_D504","2",1000001,243000000,0.994,1.76,385,192500000,385,2,0.05
15,"SLX-10722_SLX-11823.D701_D504","20",1,62500000,0.972,0.879999999999999,106,5.3e+07,106,2,0.05
16,"SLX-10722_SLX-11823.D701_D504","21",15500001,48000000,0.994,1.76,51,25500000,51,2,0.05
17,"SLX-10722_SLX-11823.D701_D504","22",19000001,51000000,0.929,-0.839999999999998,54,2.7e+07,54,2,0.05
18,"SLX-10722_SLX-11823.D701_D504","3",1,197500000,1.016,2.64,335,167500000,335,2,0.05
19,"SLX-10722_SLX-11823.D701_D504","4",500001,190000000,0.996,1.84,316,1.58e+08,316,2,0.05
20,"SLX-10722_SLX-11823.D701_D504","5",500001,8500000,0.828,-4.88,13,6500000,13,2,0.05
