"sample","chromosome","start","end","copy_number","segmented","ploidy","cellularity","absolute_segmented","absolute_copy_number"
"SLX-10722_SLX-11823.D701_D506","1",1,500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",500001,1000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",1000001,1500000,0.993,1.001,2,0.05,2.04,1.72
"SLX-10722_SLX-11823.D701_D506","1",1500001,2000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",2000001,2500000,1.011,1.001,2,0.05,2.04,2.44
"SLX-10722_SLX-11823.D701_D506","1",2500001,3000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",3000001,3500000,0.925,1.001,2,0.05,2.04,-0.999999999999998
"SLX-10722_SLX-11823.D701_D506","1",3500001,4000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",4000001,4500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",4500001,5000000,0.884,1.001,2,0.05,2.04,-2.64
"SLX-10722_SLX-11823.D701_D506","1",5000001,5500000,0.884,1.001,2,0.05,2.04,-2.64
"SLX-10722_SLX-11823.D701_D506","1",5500001,6000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",6000001,6500000,0.962,1.001,2,0.05,2.04,0.479999999999999
"SLX-10722_SLX-11823.D701_D506","1",6500001,7000000,0.985,1.001,2,0.05,2.04,1.4
"SLX-10722_SLX-11823.D701_D506","1",7000001,7500000,0.926,1.001,2,0.05,2.04,-0.959999999999998
"SLX-10722_SLX-11823.D701_D506","1",7500001,8000000,0.966,1.001,2,0.05,2.04,0.639999999999999
"SLX-10722_SLX-11823.D701_D506","1",8000001,8500000,1.011,1.001,2,0.05,2.04,2.44
"SLX-10722_SLX-11823.D701_D506","1",8500001,9000000,1.079,1.001,2,0.05,2.04,5.16
"SLX-10722_SLX-11823.D701_D506","1",9000001,9500000,1.07,1.001,2,0.05,2.04,4.8
"SLX-10722_SLX-11823.D701_D506","1",9500001,10000000,1.004,1.001,2,0.05,2.04,2.16
"SLX-10722_SLX-11823.D701_D506","1",10000001,10500000,1.066,1.001,2,0.05,2.04,4.64
"SLX-10722_SLX-11823.D701_D506","1",10500001,11000000,1.057,1.001,2,0.05,2.04,4.28
"SLX-10722_SLX-11823.D701_D506","1",11000001,11500000,0.931,1.001,2,0.05,2.04,-0.759999999999998
"SLX-10722_SLX-11823.D701_D506","1",11500001,12000000,0.931,1.001,2,0.05,2.04,-0.759999999999998
"SLX-10722_SLX-11823.D701_D506","1",12000001,12500000,1.014,1.001,2,0.05,2.04,2.56
"SLX-10722_SLX-11823.D701_D506","1",12500001,13000000,0.817,1.001,2,0.05,2.04,-5.32
"SLX-10722_SLX-11823.D701_D506","1",13000001,13500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",13500001,14000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",14000001,14500000,0.976,1.001,2,0.05,2.04,1.04
"SLX-10722_SLX-11823.D701_D506","1",14500001,15000000,0.958,1.001,2,0.05,2.04,0.319999999999999
"SLX-10722_SLX-11823.D701_D506","1",15000001,15500000,0.987,1.001,2,0.05,2.04,1.48
"SLX-10722_SLX-11823.D701_D506","1",15500001,16000000,1.044,1.001,2,0.05,2.04,3.76
"SLX-10722_SLX-11823.D701_D506","1",16000001,16500000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",16500001,17000000,NA,NA,2,0.05,NA,NA
"SLX-10722_SLX-11823.D701_D506","1",17000001,17500000,0.781,1.001,2,0.05,2.04,-6.76
"SLX-10722_SLX-11823.D701_D506","1",17500001,18000000,NA,NA,2,0.05,NA,NA
